,Stability,Method,Denominator Distance,Explanation Distance
0,912.6777954101562,grad,0.9290023,847.8797607421875
1,480.559814453125,grad,1.1380099,546.8818359375
2,435.4983215332031,grad,0.82632494,359.8631286621094
3,4552.97705078125,grad,1.076586,4901.67138671875
4,457.9237976074219,grad,0.88867,406.9431457519531
5,492.60211181640625,grad,1.1832985,582.8953247070312
6,447.81756591796875,grad,1.0594971,474.46142578125
7,491.9507751464844,grad,0.9723147,478.3309631347656
8,4431.17236328125,grad,1.0336738,4580.38671875
9,526.1998291015625,grad,1.1326492,595.9998168945312
10,554.0578002929688,grad,0.92874444,514.578125
11,405.6667785644531,grad,0.924276,374.94805908203125
12,683.6424560546875,grad,0.9488058,648.6439208984375
13,270.7488098144531,grad,0.9297946,251.74078369140625
14,399.8818054199219,grad,0.9076586,362.9561462402344
15,119.64553833007812,grad,0.92236567,110.35693359375
16,1336.42919921875,grad,0.9693242,1295.43310546875
17,345.8552551269531,grad,0.953667,329.83074951171875
18,2997.951904296875,grad,0.9449669,2832.96533203125
19,946.7340698242188,grad,0.91595644,867.1671752929688
20,57.94310760498047,grad,0.0053903903,0.3123359680175781
21,515.9100341796875,grad,1.072928,553.5343017578125
22,1157.2353515625,grad,0.94147044,1089.5029296875
23,4164.87890625,grad,0.8748809,3643.773193359375
24,117.58220672607422,grad,0.8768017,103.09628295898438
25,597.2269897460938,grad,0.9432141,563.3129272460938
26,4336.890625,grad,1.275817,5533.0791015625
27,3936.124755859375,grad,0.99564,3918.963134765625
28,75.34538269042969,grad,0.9324471,70.25558471679688
29,206.8356170654297,grad,0.8905505,184.1975555419922
30,250.8551025390625,grad,0.9545841,239.46229553222656
31,3898.221435546875,grad,0.92332447,3599.3232421875
32,2905.794921875,grad,0.9566054,2779.698974609375
33,507.173828125,grad,1.0692029,542.271728515625
34,897.4760131835938,grad,0.82188106,737.6185302734375
35,476.5130920410156,grad,1.289602,614.5122680664062
36,917.2122802734375,grad,0.96631485,886.3158569335938
37,4644.31640625,grad,1.12872,5242.1328125
38,510.8851623535156,grad,0.8786574,448.8930358886719
39,966.6075439453125,grad,0.82930785,801.615234375
40,508.5541687011719,grad,1.1570323,588.41357421875
41,474.00518798828125,grad,0.97152436,460.5075988769531
42,980.9478149414062,grad,0.932316,914.5533447265625
43,2536.028564453125,grad,0.83102465,2107.502197265625
44,444.9005126953125,grad,1.0696754,475.899169921875
45,4404.32177734375,grad,1.0132022,4462.46826171875
46,4335.36962890625,grad,1.2255368,5313.1552734375
47,511.1416015625,grad,1.1304176,577.803466796875
48,3769.33935546875,grad,0.9514421,3586.308349609375
49,442.4942626953125,grad,0.88684356,392.4231872558594
50,506.4664001464844,grad,1.1919276,603.6712646484375
51,4501.79345703125,grad,1.2317836,5545.2353515625
52,584.4849243164062,grad,0.9496977,555.083984375
53,634.7052001953125,grad,0.89456666,567.7861328125
54,2636.18896484375,grad,0.9731431,2565.38916015625
55,453.1556701660156,grad,0.9556006,433.03582763671875
56,4146.041015625,grad,1.0258248,4253.11181640625
57,4687.61328125,grad,1.1327477,5309.8828125
58,391.5269470214844,grad,0.9748496,381.67987060546875
59,3595.069580078125,grad,0.9645425,3467.597412109375
60,2920.750732421875,grad,0.96359384,2814.41748046875
61,516.7057495117188,grad,1.0600888,547.7539672851562
62,894.2586669921875,grad,0.93656033,837.5272216796875
63,4016.9921875,grad,0.970508,3898.52294921875
64,580.9671630859375,grad,0.9253709,537.610107421875
65,409.7503356933594,grad,0.9363694,383.67767333984375
66,4482.7783203125,grad,1.0444471,4682.0244140625
67,108.37984466552734,grad,0.94943833,102.89997863769531
68,4075.162353515625,grad,1.0335943,4212.064453125
69,455.655029296875,grad,0.97128016,442.5686950683594
70,919.2466430664062,grad,0.9634287,885.6286010742188
71,2896.4755859375,grad,0.8349716,2418.474853515625
72,1060.73583984375,grad,0.93851453,995.5160522460938
73,149.35366821289062,grad,0.92106825,137.56492614746094
74,4423.57275390625,grad,1.2288964,5436.11279296875
75,2005.112548828125,grad,0.9537669,1912.409912109375
76,253.08502197265625,grad,0.9680987,245.0112762451172
77,4395.5498046875,grad,1.0051287,4418.09326171875
78,110.02642059326172,grad,0.9365829,103.04886627197266
79,4480.33544921875,grad,1.0685577,4787.4970703125
80,2641.296875,grad,0.9476087,2502.916015625
81,2154.889892578125,grad,0.944477,2035.243896484375
82,1521.6473388671875,grad,0.8003532,1217.8553466796875
83,3601.525146484375,grad,1.0180972,3666.70263671875
84,4183.03271484375,grad,1.253716,5244.3349609375
85,441.8120422363281,grad,0.94423115,417.1726989746094
86,1738.51806640625,grad,0.70063233,1218.06201171875
87,108.31745147705078,grad,0.9131466,98.90971374511719
88,4461.79638671875,grad,1.0483447,4677.5009765625
89,4277.248046875,grad,1.2947503,5537.96826171875
90,506.9729919433594,grad,1.0302882,522.3283081054688
91,1059.5467529296875,grad,0.9945221,1053.74267578125
92,560.5681762695312,grad,0.93500155,524.1321411132812
93,1566.7327880859375,grad,0.8832156,1383.7628173828125
94,2892.92333984375,grad,0.97173697,2811.16064453125
95,556.7794189453125,grad,0.972828,541.6505737304688
96,572.0946044921875,grad,0.909666,520.4150390625
97,1315.5555419921875,grad,0.9845986,1295.2940673828125
98,1535.314208984375,grad,0.9945234,1526.9058837890625
99,150.9076690673828,grad,0.9517368,143.6243896484375
100,1019.2839806164905,ig,0.9290023,946.917147060348
101,93.8196702206331,ig,1.1380099,106.76771407138871
102,125.9430570697646,ig,0.82632494,104.069889042306
103,2771.898713714474,ig,1.076586,2984.187370977498
104,689.1246395071399,ig,0.88867,612.4044121735994
105,113.41634897562028,ig,1.1832985,134.20539205589586
106,86.77007602474684,ig,0.12796307,11.103364973949915
107,147.33773526733629,ig,0.9723147,143.25864813199493
108,2573.1648094855623,ig,1.0336738,2659.8129521481164
109,172.24994547676621,ig,1.1326492,195.09876006313237
110,800.4503379299293,ig,0.92874444,743.4137970947221
111,688.1173959741903,ig,0.924276,636.0103903597512
112,919.1985015550657,ig,0.9488058,872.1408779188415
113,182.8536597975635,ig,0.9297946,170.0163472156536
114,665.2145668377406,ig,0.9076586,603.7877071125533
115,155.10308120878838,ig,0.92236567,143.06175671028564
116,1341.4257080724087,ig,0.9693242,1300.2763631639325
117,682.3472798559897,ig,0.953667,650.7320731270559
118,1953.5646084082955,ig,0.9449669,1846.053915926742
119,1017.4627914345929,ig,0.91595644,931.9515938205054
120,283.5715123563844,ig,0.85852164,243.45227993076776
121,144.64187541005023,ig,1.072928,155.1903111300593
122,1173.668384907702,ig,0.94147044,1104.9740956853946
123,2170.4231820001955,ig,0.8748809,1898.861808379226
124,379.19778987483465,ig,0.8768017,332.48127787193425
125,852.2741924699295,ig,0.9432141,803.87705115436
126,2647.621988924106,ig,1.275817,3377.881240022199
127,2396.9925418044954,ig,0.99564,2386.54160599724
128,354.912758575913,ig,0.9324471,330.9373639137706
129,486.24589538384987,ig,0.8905505,433.0265224339065
130,596.8989903915942,ig,0.9545841,569.790298489025
131,2186.5114256860265,ig,0.92332447,2018.8594939814247
132,1954.7291737355877,ig,0.9566054,1869.9044338993938
133,123.82245962370204,ig,1.0692029,132.39133290648186
134,893.5966842280147,ig,0.82188106,734.4301863212139
135,116.01541917302413,ig,1.289602,149.613721381369
136,1104.5872261346915,ig,0.96631485,1067.379042205997
137,2786.5625396535893,ig,1.12872,3145.248995403129
138,716.3103925271243,ig,0.8786574,629.3914275264242
139,934.5641195361776,ig,0.82930785,775.0413645620262
140,132.4472537573584,ig,1.1570323,153.24574420106498
141,168.03025539050518,ig,0.97152436,163.24548595851059
142,1062.5640191700575,ig,0.932316,990.645441653708
143,1592.737222399248,ig,0.83102465,1323.6038876242987
144,89.80945658787134,ig,0.13368231,12.005935668709268
145,2489.788558555649,ig,1.0132022,2522.6592211593756
146,2553.759792203203,ig,1.2255368,3129.7266631382763
147,133.34361625861445,ig,1.1304176,150.73396871595682
148,2213.6388052788525,ig,0.9514421,2106.1492032530277
149,676.617701667373,ig,0.88684356,600.0540527443083
150,135.91301651131255,ig,1.1919276,161.99846908560087
151,2757.6663339606757,ig,1.2317836,3396.848242938395
152,855.5806777396161,ig,0.9496977,812.5429789875212
153,810.8647843192929,ig,0.89456666,725.372597894731
154,1916.458393257743,ig,0.9731431,1864.9882632512122
155,772.5019393515854,ig,0.9556006,738.2033316672641
156,2575.1589418684575,ig,1.0258248,2641.6618684818754
157,3018.7627738485135,ig,1.1327477,3419.496438426587
158,769.2034983211785,ig,0.9748496,749.8577085947653
159,2201.4374303693503,ig,0.9645425,2123.37998056938
160,1982.7083879137074,ig,0.96359384,1910.5255902977403
161,155.25599797746537,ig,1.0600888,164.5851374004208
162,1022.1722402554295,ig,0.93656033,957.3259734871109
163,2326.324194822502,ig,0.970508,2257.7161937302462
164,813.7232305568643,ig,0.9253709,752.9957754439241
165,176.10560802980174,ig,0.9363694,164.899905890748
166,2599.9219256246897,ig,1.0444471,2715.4808228871725
167,423.1444451390984,ig,0.94943833,401.74955682745156
168,2643.8698519109967,ig,1.0335943,2732.688678478788
169,179.97228976672852,ig,0.97128016,174.8035139621546
170,1097.2582711625494,ig,0.9634287,1057.130083557058
171,1726.594159953167,ig,0.8349716,1441.6570999091732
172,1117.0965606356212,ig,0.93851453,1048.4113543054125
173,162.3956697294561,ig,0.92106825,149.57749550927673
174,2648.3563957834212,ig,1.2288964,3254.55558632665
175,1598.1231713213047,ig,0.9537669,1524.236954833623
176,206.7200826134807,ig,0.9680987,200.1254432516239
177,2461.031064076695,ig,1.0051287,2473.653055647856
178,411.8079249685541,ig,0.9365829,385.69227005504564
179,2802.1406715267954,ig,1.0685577,2994.249101049041
180,1832.4728558729182,ig,0.9476087,1736.467237845757
181,1634.5228238546401,ig,0.944477,1543.7692485653968
182,1165.1390301080341,ig,0.8003532,932.5227850343359
183,2491.108573904285,ig,1.0180972,2536.1905699403865
184,2464.934156695377,ig,1.253716,3090.3273714116367
185,743.5867504488964,ig,0.94423115,702.1177743857338
186,1182.4486020613683,ig,0.70063233,828.461723608177
187,148.2175970530889,ig,0.9131466,135.3443970366687
188,2641.8982329505916,ig,1.0483447,2769.620093226092
189,2620.1410513582264,ig,1.2947503,3392.4284983137313
190,128.94521509235406,ig,1.0302882,132.8507360643443
191,1338.6144483065443,ig,0.9945221,1331.2816451610663
192,814.09338355266,ig,0.93500155,761.1785771801075
193,1271.5567440992459,ig,0.8832156,1123.0587605733556
194,2002.827151917689,ig,0.97173697,1946.221183158595
195,891.9946935624118,ig,0.972828,867.7573878646733
196,787.913617339684,ig,0.909666,716.7382300465831
197,1400.1631194946594,ig,0.9845986,1378.5986150538997
198,1588.0529805148362,ig,0.9945234,1579.3558591357191
199,482.93732117371,ig,0.9517368,459.6292244325452
200,386.3155822753906,itg,0.031978223,12.353686332702637
201,10015.2900390625,itg,0.01302882,130.48741149902344
202,4117.142578125,itg,0.015856557,65.28370666503906
203,1460.679443359375,itg,0.07662127,111.91912078857422
204,186.08685302734375,itg,0.06104089,11.358906745910645
205,2182.479248046875,itg,0.045835093,100.03414154052734
206,4545.93212890625,itg,0.025503922,115.93910217285156
207,8970.5263671875,itg,0.01103403,98.98104858398438
208,17472.7734375,itg,0.0066495882,116.1867446899414
209,3845.563720703125,itg,0.009302366,35.7728385925293
210,845.0504760742188,itg,0.023282977,19.675291061401367
211,176.6369171142578,itg,0.054949913,9.706183433532715
212,145.78977966308594,itg,0.069537826,10.137904167175293
213,1786.5035400390625,itg,0.029943263,53.493743896484375
214,509.28070068359375,itg,0.01431232,7.2889885902404785
215,199.77658081054688,itg,0.029652555,5.923885822296143
216,762.5922241210938,itg,0.028184617,21.493370056152344
217,93.43112182617188,itg,0.06948041,6.49163293838501
218,1194.71533203125,itg,0.033123,39.57255935668945
219,31938.25,itg,0.00058913423,18.815916061401367
220,137.4970703125,itg,0.0053903903,0.741162896156311
221,74213.5078125,itg,0.00093119143,69.10697937011719
222,853.624267578125,itg,0.02011993,17.17486000061035
223,28983.8984375,itg,0.004499834,130.4227294921875
224,162.71180725097656,itg,0.017722478,2.8836565017700195
225,171.83892822265625,itg,0.07466276,12.829968452453613
226,50842.02734375,itg,0.0021833067,111.00373840332031
227,7457.2958984375,itg,0.018514333,138.06686401367188
228,74.94551086425781,itg,0.027441055,2.056583881378174
229,109.49784088134766,itg,0.034786083,3.8090009689331055
230,35.01803207397461,itg,0.21754497,7.617996692657471
231,30316.814453125,itg,0.0033669663,102.07569122314453
232,43691.8125,itg,0.0007022985,30.6846923828125
233,2388.51171875,itg,0.06983151,166.7933807373047
234,4159.26171875,itg,0.0024406603,10.151345252990723
235,55036.56640625,itg,0.0024556539,135.1507568359375
236,1138.1488037109375,itg,0.025124561,28.595489501953125
237,8050.64013671875,itg,0.013105794,105.5100326538086
238,841.6841430664062,itg,0.01810766,15.240930557250977
239,3136.56103515625,itg,0.0032977867,10.343708992004395
240,6362.35595703125,itg,0.009741259,61.97735595703125
241,5791.01708984375,itg,0.007089542,41.055660247802734
242,310.6682434082031,itg,0.030907907,9.602105140686035
243,4762.77490234375,itg,0.008902773,42.40190505981445
244,21964.94921875,itg,0.0029588686,64.99140167236328
245,2987.204833984375,itg,0.05017081,149.8704833984375
246,11615.9013671875,itg,0.010137459,117.75572204589844
247,76586.03125,itg,0.00066094217,50.61893844604492
248,61675.9453125,itg,0.0035015463,215.961181640625
249,124.04767608642578,itg,0.04023384,4.990914344787598
250,5782.2919921875,itg,0.013919972,80.48934173583984
251,9081.814453125,itg,0.010106714,91.78730773925781
252,528.7929077148438,itg,0.029657364,15.68260383605957
253,2002.679931640625,itg,0.004738777,9.490253448486328
254,2597.495849609375,itg,0.03269543,84.9262466430664
255,268.6131286621094,itg,0.024873363,6.68131160736084
256,1162.827880859375,itg,0.030856788,35.881134033203125
257,1870.7352294921875,itg,0.052543882,98.29569244384766
258,99214.046875,itg,0.00044435903,44.0866584777832
259,1839.088134765625,itg,0.018544182,34.10438537597656
260,935.134765625,itg,0.022466816,21.00950050354004
261,9824.6513671875,itg,0.0027521134,27.038555145263672
262,1441.9354248046875,itg,0.02119876,30.567243576049805
263,4427.12841796875,itg,0.01150998,50.95615768432617
264,1180.1630859375,itg,0.0093211215,11.000443458557129
265,613.3781127929688,itg,0.1508907,92.55304718017578
266,8139.96630859375,itg,0.0068988116,56.15609359741211
267,308.8244934082031,itg,0.006549655,2.0226938724517822
268,827.1218872070312,itg,0.14069076,116.368408203125
269,5534.6806640625,itg,0.0034870263,19.299577713012695
270,2980.811767578125,itg,0.0035153988,10.478742599487305
271,3126.891357421875,itg,0.019900605,62.22703170776367
272,945.3222045898438,itg,0.026118211,24.69012451171875
273,476.3036804199219,itg,0.029666612,14.130316734313965
274,22408.248046875,itg,0.009611786,215.38328552246094
275,1560.777587890625,itg,0.017632945,27.52110481262207
276,251.28839111328125,itg,0.26514795,66.62860107421875
277,1723.0106201171875,itg,0.04609248,79.41783142089844
278,118.24568176269531,itg,0.0116811665,1.3812475204467773
279,4072.3984375,itg,0.014157303,57.654178619384766
280,1446.2554931640625,itg,0.035591684,51.47467041015625
281,1609.2799072265625,itg,0.013724507,22.086572647094727
282,897.5829467773438,itg,0.038342737,34.41578674316406
283,6843.8896484375,itg,0.011380726,77.888427734375
284,3684.8828125,itg,0.0448842,165.3930206298828
285,725.9762573242188,itg,0.008885464,6.4506354331970215
286,5145.11962890625,itg,0.0077990093,40.126834869384766
287,181.84698486328125,itg,0.12843314,23.355178833007812
288,6594.2021484375,itg,0.009199692,60.66462707519531
289,2321.130859375,itg,0.047280695,109.74468231201172
290,4360.25,itg,0.010580394,46.1331672668457
291,996.4661865234375,itg,0.016215423,16.15812110900879
292,522.9260864257812,itg,0.008981174,4.696490287780762
293,2325.88525390625,itg,0.013644814,31.736268997192383
294,1977.4093017578125,itg,0.044735976,88.46133422851562
295,552.4710693359375,itg,0.005897534,3.2582168579101562
296,409.1285400390625,itg,0.020964747,8.577276229858398
297,585.4918212890625,itg,0.017437086,10.209270477294922
298,855.4003295898438,itg,0.024307724,20.792835235595703
299,42.91522216796875,itg,0.04263738,1.8297927379608154
300,8.0300874710083,sg005,0.031978223,0.2567879259586334
301,9.937479019165039,sg005,0.020598467,0.20469683408737183
302,17.137130737304688,sg005,0.015856557,0.27173587679862976
