,Stability,Method,Denominator Distance,Explanation Distance
0,186.88194274902344,grad,0.34502476,64.47889709472656
1,218.6270751953125,grad,0.65127975,142.38739013671875
2,194.26220703125,grad,0.8532072,165.74591064453125
3,157.89752197265625,grad,0.27206993,42.95916748046875
4,148.53585815429688,grad,0.3391436,50.3749885559082
5,221.8309326171875,grad,0.7186644,159.4219970703125
6,216.1676788330078,grad,0.6640894,143.55465698242188
7,287.7200012207031,grad,0.3583434,103.1025619506836
8,239.65570068359375,grad,0.67612475,162.0371551513672
9,269.3080749511719,grad,0.465228,125.2896499633789
10,205.42250061035156,grad,0.5171404,106.23226928710938
11,240.5590057373047,grad,0.68021375,163.6315460205078
12,105.31592559814453,grad,0.7052529,74.27436065673828
13,209.2030029296875,grad,0.37951094,79.39482879638672
14,129.20957946777344,grad,0.36178216,46.74571990966797
15,219.93429565429688,grad,0.61465305,135.18328857421875
16,235.5503387451172,grad,0.6441795,151.73670959472656
17,210.7039031982422,grad,0.39833385,83.93049621582031
18,177.13487243652344,grad,0.7038329,124.67335510253906
19,212.71739196777344,grad,0.5361709,114.0528793334961
20,186.24008178710938,grad,0.4656383,86.72052001953125
21,157.1382293701172,grad,0.38915828,61.15164566040039
22,202.8206024169922,grad,0.62646013,127.05902099609375
23,127.17950439453125,grad,0.1762888,22.42032241821289
24,200.43235778808594,grad,0.43979603,88.14935302734375
25,194.0372314453125,grad,0.53291833,103.40599822998047
26,216.84153747558594,grad,0.66302264,143.77084350585938
27,201.1521453857422,grad,0.36150157,72.7168197631836
28,201.70013427734375,grad,0.41268745,83.2391128540039
29,213.13453674316406,grad,0.52301925,111.47346496582031
30,249.43698120117188,grad,0.75865746,189.2372283935547
31,211.4921112060547,grad,0.48335066,102.224853515625
32,213.11123657226562,grad,0.6713876,143.0802459716797
33,111.94698333740234,grad,0.34653866,38.7939567565918
34,186.72853088378906,grad,0.32814598,61.27421569824219
35,211.03768920898438,grad,0.75852305,160.0769500732422
36,220.23255920410156,grad,0.50527203,111.27735137939453
37,239.1445770263672,grad,0.6765424,161.79144287109375
38,187.7493896484375,grad,0.2896676,54.38491439819336
39,227.06822204589844,grad,0.6685148,151.7984619140625
40,237.52166748046875,grad,0.6655429,158.0808563232422
41,238.86386108398438,grad,0.67438185,161.08544921875
42,190.80807495117188,grad,0.21389778,40.81342315673828
43,247.20001220703125,grad,0.7418066,183.37460327148438
44,162.23953247070312,grad,0.55623275,90.2429428100586
45,230.62794494628906,grad,0.65237325,150.45550537109375
46,241.30148315429688,grad,0.685927,165.51519775390625
47,291.8359375,grad,0.45756873,133.53500366210938
48,218.14747619628906,grad,0.48722696,106.2873306274414
49,237.7191162109375,grad,0.6584735,156.53173828125
50,245.8437042236328,grad,0.81206334,199.64065551757812
51,231.32827758789062,grad,0.6305004,145.85256958007812
52,142.53179931640625,grad,0.7396049,105.4172134399414
53,233.0762176513672,grad,0.6878655,160.32508850097656
54,207.0989990234375,grad,0.686656,142.2057647705078
55,179.57711791992188,grad,0.7396514,132.824462890625
56,145.529296875,grad,0.7773137,113.12191772460938
57,139.95175170898438,grad,0.68497413,95.86332702636719
58,187.35398864746094,grad,0.6887459,129.03929138183594
59,205.63543701171875,grad,0.36096463,74.22711944580078
60,238.58958435058594,grad,0.6686544,159.53396606445312
61,199.383544921875,grad,0.40965927,81.67931365966797
62,196.65159606933594,grad,0.6840415,134.51785278320312
63,199.66635131835938,grad,0.64355874,128.4970245361328
64,175.30960083007812,grad,0.42220563,74.0167007446289
65,184.8699951171875,grad,0.738644,136.55311584472656
66,245.3076171875,grad,0.7792266,191.1502227783203
67,226.68441772460938,grad,0.69107795,156.65660095214844
68,198.993896484375,grad,0.68817884,136.94338989257812
69,133.74337768554688,grad,0.31107932,41.60479736328125
70,222.06259155273438,grad,0.5222989,115.98303985595703
71,171.42034912109375,grad,0.9077881,155.6133575439453
72,241.22265625,grad,0.6900466,166.4548797607422
73,217.56529235839844,grad,0.5118185,111.35395050048828
74,237.67889404296875,grad,0.6539185,155.42262268066406
75,230.96437072753906,grad,0.6572885,151.8102264404297
76,222.90098571777344,grad,0.66269606,147.71560668945312
77,209.3500518798828,grad,0.3878335,81.19296264648438
78,178.1806640625,grad,0.643389,114.63947296142578
79,184.82127380371094,grad,0.10998331,20.327255249023438
80,92.20779418945312,grad,0.43084788,39.72753143310547
81,124.64093017578125,grad,0.13189837,16.4399356842041
82,214.1822052001953,grad,0.6709884,143.71377563476562
83,163.88768005371094,grad,0.35906252,58.845924377441406
84,233.9269561767578,grad,0.6623287,154.93653869628906
85,226.9556121826172,grad,0.74409515,168.87657165527344
86,168.08316040039062,grad,0.5489413,92.26779174804688
87,209.9386749267578,grad,0.38659543,81.16133117675781
88,209.5034942626953,grad,0.50770664,106.36631774902344
89,175.59552001953125,grad,0.4675793,82.10482788085938
90,267.6520690917969,grad,0.90737146,242.85984802246094
91,119.68574523925781,grad,0.4440952,53.15186309814453
92,206.75656127929688,grad,0.8764518,181.212158203125
93,221.44973754882812,grad,0.6508661,144.13412475585938
94,224.49693298339844,grad,0.89539844,201.0142059326172
95,141.7970428466797,grad,0.63596195,90.17752838134766
96,245.2928009033203,grad,0.72381234,177.54595947265625
97,282.123779296875,grad,0.31523097,88.93415069580078
98,178.01092529296875,grad,0.69650656,123.98577880859375
99,148.77581787109375,grad,0.24935582,37.09811782836914
100,97.69374383559091,ig,0.34502476,33.706760963692005
101,118.80321698699495,ig,0.65127975,77.37412915982814
102,103.8063159051337,ig,0.8532072,88.56829312154042
103,32.66018313278983,ig,0.16370277,5.346562482413616
104,87.11970414951966,ig,0.3391436,29.54609044817935
105,113.01363864898951,ig,0.7186644,81.21887968509988
106,109.68657689937206,ig,0.6640894,72.84169103332243
107,75.69414361129989,ig,0.3583434,27.124496222423385
108,121.43774756755381,ig,0.67612475,82.10706690507045
109,50.64366437253291,ig,0.465228,23.560850250259474
110,103.14607682437725,ig,0.5171404,53.34100224005092
111,122.28148758655763,ig,0.68021375,83.17754915452845
112,86.86230656120041,ig,0.7052529,61.2598923711362
113,103.25153162141328,ig,0.37951094,39.185085731349616
114,76.23340487433836,ig,0.36178216,27.579886137381752
115,110.41474931428266,ig,0.61465305,67.86676253032793
116,120.66808272656998,ig,0.6441795,77.73190797106214
117,103.75589075351543,ig,0.39833385,41.329483166996425
118,95.30179111189707,ig,0.7038329,67.07653833560393
119,106.23023594282834,ig,0.5361709,56.95756119865745
120,101.821643514634,ig,0.4656383,47.41205797877927
121,38.57542844525341,ig,0.09632352,3.715721051238867
122,113.63300534125827,ig,0.62646013,71.18654786461575
123,74.16330988536697,ig,0.1762888,13.074160788871932
124,100.16406036943759,ig,0.43979603,44.051756151383806
125,99.2540334404783,ig,0.53291833,52.894294144600885
126,109.94430565991657,ig,0.66302264,72.89556350214879
127,101.50058638167287,ig,0.36150157,36.692621791302095
128,29.032516450186247,ig,0.16613936,4.823443825395425
129,106.19477159607182,ig,0.52301925,55.541910240925084
130,128.70663782438254,ig,0.75865746,97.64425035064178
131,104.95471615834292,ig,0.48335066,50.72993178465681
132,118.85812971045182,ig,0.6713876,79.79987597051114
133,70.78281226965956,ig,0.34653866,24.528981120970027
134,97.11752253852222,ig,0.32814598,31.8687246896648
135,109.1931788041654,ig,0.75852305,82.82554269491568
136,109.11952781005303,ig,0.50527203,55.13504541983798
137,120.98015839634199,ig,0.6765424,81.84820687278288
138,93.67292141783993,ig,0.2896676,27.13401092726953
139,114.41738635528499,ig,0.6685148,76.48971480007013
140,122.44733570214633,ig,0.6655429,81.49395496933047
141,123.13813087532117,ig,0.67438185,83.04212076998368
142,94.64557349667592,ig,0.21389778,20.244478018386726
143,128.94917805443743,ig,0.7418066,95.6553547392844
144,88.53138600308692,ig,0.55623275,49.244056334620076
145,121.04315795485647,ig,0.65237325,78.96531886565744
146,123.59875103819274,ig,0.685927,84.7797172675261
147,67.06730875343945,ig,0.45756873,30.68790361840348
148,109.61563050268674,ig,0.48722696,53.40769075189103
149,121.67734725603087,ig,0.6584735,80.1213077046637
150,41.636809314040015,ig,0.049329977,2.0539428659071257
151,115.92565508508076,ig,0.6305004,73.09116914521711
152,83.03369851129105,ig,0.7396049,61.41212948251001
153,117.56993960742741,ig,0.6878655,80.87230478533796
154,118.41591089418117,ig,0.686656,81.31099550135639
155,114.6079101913074,ig,0.7396514,84.76989915763134
156,84.34213836947794,ig,0.7773137,65.56030042281752
157,98.3526333858732,ig,0.68497413,67.36900987699545
158,98.91113459179292,ig,0.6887459,68.12463998611776
159,102.24891685099459,ig,0.36096463,36.90824203757414
160,120.6536406064053,ig,0.6686544,80.67558552333779
161,102.88958920970087,ig,0.40965927,42.14967364323735
162,115.54469380142898,ig,0.6840415,79.03736567554861
163,43.80070457701589,ig,0.063163064,2.7665867248492217
164,91.42696441231824,ig,0.42220563,38.60097883117017
165,98.59815935620604,ig,0.738644,72.82893920089329
