age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,sex_Male,workclass_Private,marital-status_Non-Married,occupation_Other,relationship_Non-Husband,race_White,native-country_US,income
49,269417,16,0,2258,50,0,0,1,0,1,1,1,1
26,186151,9,0,0,40,0,1,1,1,1,1,1,0
38,33394,9,0,0,75,1,1,0,1,0,1,1,1
33,192644,16,0,1977,90,1,1,0,0,0,1,1,1
50,139296,7,0,0,40,1,0,1,1,1,1,1,0
40,105119,13,0,0,40,1,0,0,1,0,1,1,0
70,177906,10,6514,0,40,1,1,0,0,0,1,1,1
60,95490,9,0,0,45,1,0,0,1,0,1,1,0
46,193047,9,0,0,40,1,1,0,0,0,1,1,1
47,192053,4,0,0,55,1,0,0,0,0,1,1,1
34,249948,10,0,0,34,0,1,1,1,1,1,1,0
37,218249,7,0,0,30,0,0,1,0,1,0,1,0
22,249727,10,0,0,20,1,1,1,1,1,1,1,0
18,65098,9,0,0,15,1,1,1,1,1,1,1,0
65,180807,9,991,0,20,1,1,1,1,1,1,1,0
47,29023,16,0,0,40,1,0,0,0,0,0,0,1
37,68899,9,0,0,60,1,0,0,1,0,1,1,1
24,201680,10,0,0,40,1,1,1,0,1,1,1,0
57,185072,10,0,0,40,0,1,1,0,1,0,0,0
58,112945,15,27828,0,40,1,0,1,0,1,1,1,1
33,146440,10,0,1740,40,1,1,0,1,0,1,1,0
47,98012,14,7688,0,40,0,1,0,0,1,1,1,1
40,173651,10,0,0,40,1,1,0,0,0,1,1,1
41,304605,9,0,0,40,1,1,0,1,0,1,0,1
34,185063,10,0,0,45,1,1,0,0,0,1,1,1
21,30039,10,0,0,40,1,1,1,0,1,1,1,0
34,156532,4,0,0,50,1,0,1,1,1,1,1,0
53,164198,9,0,0,40,1,1,0,1,0,0,1,1
59,146477,15,0,0,40,1,0,0,0,0,1,1,1
49,123681,12,0,0,35,1,1,1,1,1,1,1,0
63,172740,10,0,0,40,1,1,0,0,0,1,1,0
37,238049,5,0,0,30,0,1,1,1,1,1,0,0
28,110145,9,0,0,40,1,1,0,0,0,1,1,0
31,63704,13,0,0,40,0,0,1,0,1,1,1,0
30,287986,10,0,0,40,1,1,1,1,1,1,1,0
30,121142,13,0,0,40,1,1,1,1,1,1,1,1
53,68684,9,0,0,40,1,1,0,1,0,1,1,0
49,182211,9,0,0,50,1,0,0,1,0,1,1,1
34,169496,10,0,0,40,1,1,0,1,0,1,1,1
32,174201,9,0,0,38,1,1,0,1,0,1,1,1
48,240917,7,0,0,35,0,1,1,1,1,0,1,0
50,48358,9,7688,0,40,1,1,0,1,0,1,1,1
44,115323,14,0,0,40,1,1,0,0,0,1,1,1
30,226443,14,0,1887,45,1,0,0,0,0,1,1,1
68,73773,9,0,0,24,0,1,1,1,1,1,1,0
35,246829,9,0,0,40,0,1,1,0,1,1,1,0
53,157229,12,0,0,40,0,1,0,1,1,0,0,0
55,127014,9,0,0,60,1,1,0,1,0,1,1,0
48,206357,9,0,0,44,0,1,1,0,1,1,1,0
31,34862,12,0,0,40,1,0,0,1,0,0,1,0
19,283945,9,0,0,35,1,1,1,1,1,1,1,0
29,161615,9,0,0,40,1,1,1,1,1,1,1,0
40,208277,13,0,0,35,0,0,1,0,1,1,1,0
45,201699,11,0,0,40,1,1,0,0,0,1,1,1
25,33610,9,0,0,45,1,1,1,1,1,1,1,0
26,258768,10,2174,0,75,1,1,1,1,1,0,1,0
42,195508,7,0,0,40,1,1,0,1,0,0,1,0
23,180339,9,0,0,40,0,1,1,1,1,1,1,0
30,180168,13,0,0,38,0,1,1,0,1,1,1,0
40,286370,4,0,0,40,1,1,0,0,0,1,0,1
61,162397,13,0,0,40,1,1,0,1,0,1,1,1
44,184105,13,5013,0,40,1,0,0,0,0,1,1,0
26,306513,10,0,0,40,1,1,1,1,1,1,1,0
56,133025,9,0,0,50,1,1,0,1,0,1,1,0
28,191355,13,0,0,45,1,1,0,1,0,1,1,1
47,47270,12,0,0,40,0,0,1,0,1,0,1,0
32,159537,12,0,0,40,1,0,0,1,0,1,1,0
58,33386,10,0,0,25,0,0,1,0,1,1,1,0
48,127921,13,0,0,40,1,0,0,0,0,1,1,0
19,116562,9,0,0,40,0,1,1,1,1,1,1,0
20,195770,10,0,0,26,1,1,1,0,1,1,1,0
31,101562,13,0,0,50,0,1,1,1,1,1,1,1
51,293802,3,0,0,52,1,1,0,1,0,0,1,0
29,372149,9,0,0,35,1,1,0,0,0,1,1,0
41,207578,9,0,0,40,1,1,0,1,0,1,1,1
42,132481,12,0,0,24,0,1,1,0,1,1,1,0
45,122002,10,0,0,40,1,1,1,0,1,0,1,0
21,256240,7,0,0,40,1,1,0,0,0,1,1,0
21,238068,9,0,0,40,1,1,0,0,0,1,1,0
24,116968,13,0,0,40,1,1,1,0,1,1,1,0
50,240496,10,0,0,36,0,1,1,1,1,1,1,0
58,21383,9,0,0,40,1,0,0,0,0,1,1,0
26,209384,10,0,0,40,1,1,0,1,0,1,1,0
40,192381,10,0,0,50,1,1,0,1,0,1,1,1
27,157612,13,0,0,55,0,1,1,0,1,1,1,0
39,79586,10,0,0,35,1,1,0,1,0,0,0,1
35,258339,15,0,0,55,1,1,0,0,0,1,1,1
29,168524,10,0,0,40,0,1,1,1,1,1,1,0
27,195337,10,0,0,40,0,1,1,0,1,1,1,0
50,169646,13,0,0,40,0,1,1,0,1,0,0,0
38,149455,9,0,0,40,0,0,1,1,1,0,1,0
21,250051,10,0,0,10,0,1,1,0,1,1,1,0
24,172987,13,0,0,50,1,1,0,1,0,1,1,0
51,108914,9,0,0,40,1,1,0,1,0,1,1,0
60,147473,9,0,0,40,1,1,0,1,0,1,1,0
57,94156,14,7688,0,84,1,1,0,0,0,1,1,1
49,198759,12,15024,0,60,1,1,0,1,0,1,1,1
41,163287,13,0,0,48,1,1,1,1,1,1,1,0
68,211162,9,0,0,40,1,1,0,0,0,1,1,0
27,243871,10,0,0,45,0,0,1,0,1,1,1,0
31,117507,9,0,0,45,1,1,1,1,1,1,1,0
20,35448,10,0,0,12,0,1,1,0,1,1,1,0
53,139522,9,0,1573,40,0,1,0,1,1,1,0,0
29,210959,12,0,0,40,1,1,0,0,0,1,1,0
43,390369,12,0,0,40,1,1,0,1,0,1,1,1
35,32528,9,0,0,45,1,1,0,1,0,1,1,0
23,230824,13,0,0,35,1,1,1,1,1,1,1,0
39,186183,9,0,0,40,1,1,0,1,0,1,1,1
42,188615,13,0,0,60,1,0,0,1,0,1,1,1
36,37778,9,0,0,48,1,1,0,0,0,1,1,0
31,1033222,13,8614,0,40,1,1,1,0,1,1,1,1
31,122116,11,0,0,40,1,1,0,1,0,1,1,0
28,183155,13,0,0,55,1,1,0,0,0,1,1,0
28,167336,10,10520,0,40,0,1,1,0,1,1,1,1
32,250585,13,0,0,50,0,0,1,0,1,1,1,0
35,263081,9,0,0,60,1,1,0,1,0,0,1,1
41,325159,13,0,0,50,1,1,0,0,0,1,1,0
41,166813,10,0,0,55,1,1,0,1,0,1,1,0
44,323790,13,0,0,40,1,0,0,1,0,1,1,1
39,171482,13,0,0,40,1,0,1,0,1,1,1,1
23,133355,10,0,0,15,1,1,1,0,1,1,1,0
27,327766,10,0,0,45,1,1,1,1,1,1,1,0
56,121362,13,0,0,32,0,1,1,1,1,1,1,0
23,460046,9,0,0,42,0,1,1,0,1,1,1,0
45,231013,13,0,0,40,1,0,1,1,1,1,1,0
49,296849,10,0,0,40,1,1,0,0,0,1,1,1
63,106648,9,0,0,12,1,0,0,1,0,1,1,0
35,95455,13,0,0,55,0,0,1,0,1,1,1,0
41,239061,14,0,0,20,0,0,1,0,1,1,1,0
49,197332,10,0,0,60,1,0,0,1,0,1,1,0
62,200916,13,0,0,40,1,0,0,0,0,1,1,1
44,197344,9,0,0,50,1,1,1,1,1,1,1,0
23,149204,13,0,0,40,1,1,1,0,1,1,1,0
38,181943,13,0,0,35,0,1,1,0,1,1,1,0
23,41031,10,0,0,35,0,0,1,1,1,1,1,0
50,142073,9,0,0,55,0,1,1,0,1,1,1,0
40,144928,10,7298,0,40,1,1,0,1,0,1,1,1
59,277034,9,0,0,60,1,1,1,1,1,1,1,1
34,152109,9,0,0,60,1,0,0,1,0,1,1,0
21,56520,10,0,0,40,1,1,1,0,1,1,1,0
48,96854,10,0,0,30,1,0,1,0,1,1,1,0
38,197113,10,0,0,20,0,1,1,0,1,0,1,0
34,286020,9,0,0,45,1,1,0,0,0,1,1,0
35,285000,13,0,0,45,1,1,1,0,1,1,1,0
35,24106,10,0,0,40,1,1,0,0,0,1,1,1
44,38122,9,0,0,45,1,0,1,1,1,1,1,0
28,118089,9,4386,0,45,1,1,0,0,0,1,1,1
33,377283,13,0,0,50,0,1,1,1,1,1,1,1
