,Faithfulness,Std_Deviation,Method
0,0.39441213,0.05,grad
1,0.054674525,0.05,grad
2,0.07023502,0.05,grad
3,0.40967664,0.05,grad
4,0.06441436,0.05,grad
5,0.07074905,0.05,grad
6,0.20320974,0.05,grad
7,0.23768114,0.05,grad
8,0.38627824,0.05,grad
9,0.26225978,0.05,grad
10,0.09046426,0.05,grad
11,0.33497828,0.05,grad
12,0.22702862,0.05,grad
13,0.032255102,0.05,grad
14,0.04678608,0.05,grad
15,0.06049997,0.05,grad
16,0.030594334,0.05,grad
17,0.02911326,0.05,grad
18,0.05993336,0.05,grad
19,0.015868286,0.05,grad
20,0.19025762,0.05,grad
21,0.081251204,0.05,grad
22,0.00071458804,0.05,grad
23,0.074389346,0.05,grad
24,0.043441903,0.05,grad
25,0.1790366,0.05,grad
26,0.36749268,0.05,grad
27,0.15387121,0.05,grad
28,0.3578138,0.05,grad
29,0.115085304,0.05,grad
30,0.19987015,0.05,grad
31,0.07194008,0.05,grad
32,0.4139985,0.05,grad
33,0.07971306,0.05,grad
34,0.015954887,0.05,grad
35,0.3876236,0.05,ig
36,0.060419966,0.05,ig
37,0.07487622,0.05,ig
38,0.38077542,0.05,ig
39,0.023853574,0.05,ig
40,0.06566903,0.05,ig
41,0.21666592,0.05,ig
42,0.24145493,0.05,ig
43,0.38371292,0.05,ig
44,0.30400085,0.05,ig
45,0.09558003,0.05,ig
46,0.3288431,0.05,ig
47,0.18667291,0.05,ig
48,0.060468793,0.05,ig
49,0.02479946,0.05,ig
50,0.05105047,0.05,ig
51,0.04128201,0.05,ig
52,0.028084736,0.05,ig
53,0.12216997,0.05,ig
54,0.006507758,0.05,ig
55,0.18789291,0.05,ig
56,0.05947953,0.05,ig
57,0.00041755367,0.05,ig
58,0.087599084,0.05,ig
59,0.08322301,0.05,ig
60,0.19394965,0.05,ig
61,0.33365607,0.05,ig
62,0.18603523,0.05,ig
63,0.37359324,0.05,ig
64,0.1692445,0.05,ig
65,0.11581539,0.05,ig
66,0.062411275,0.05,ig
67,0.39640722,0.05,ig
68,0.07462649,0.05,ig
69,0.01881255,0.05,ig
70,0.2581763,0.05,itg
71,0.007395153,0.05,itg
72,0.052277416,0.05,itg
73,0.36706457,0.05,itg
74,0.002123124,0.05,itg
75,0.09474683,0.05,itg
76,0.39467305,0.05,itg
77,0.40523744,0.05,itg
78,0.29310495,0.05,itg
79,0.17309484,0.05,itg
80,0.21012484,0.05,itg
81,0.36002678,0.05,itg
82,0.18885142,0.05,itg
83,0.0042263186,0.05,itg
84,0.14660254,0.05,itg
85,0.25863588,0.05,itg
86,0.19032274,0.05,itg
87,0.0033860577,0.05,itg
88,0.003523289,0.05,itg
89,0.023152677,0.05,itg
90,0.4374673,0.05,itg
91,0.053068046,0.05,itg
92,0.0002469466,0.05,itg
93,0.0028919799,0.05,itg
94,0.03557648,0.05,itg
95,0.3667026,0.05,itg
96,0.31212676,0.05,itg
97,0.05689289,0.05,itg
98,0.320345,0.05,itg
99,0.16686472,0.05,itg
100,0.026454432,0.05,itg
101,0.27850428,0.05,itg
102,0.31275535,0.05,itg
103,0.23776847,0.05,itg
104,0.02104968,0.05,itg
105,0.16312581,0.05,sg003
106,0.000496552,0.05,sg003
107,0.00037501752,0.05,sg003
108,0.21693337,0.05,sg003
109,0.00017259657,0.05,sg003
110,0.0014883906,0.05,sg003
111,0.2295982,0.05,sg003
112,0.2530312,0.05,sg003
113,0.22142266,0.05,sg003
114,0.106103055,0.05,sg003
115,0.078372054,0.05,sg003
116,0.14337659,0.05,sg003
117,0.24576628,0.05,sg003
118,0.0008887786,0.05,sg003
119,0.032480527,0.05,sg003
120,0.07555603,0.05,sg003
121,0.0149622345,0.05,sg003
122,0.0011330879,0.05,sg003
123,0.005800245,0.05,sg003
124,0.016701143,0.05,sg003
125,0.18338369,0.05,sg003
126,0.00065195916,0.05,sg003
127,0.0013027075,0.05,sg003
128,0.001088829,0.05,sg003
129,0.00045699597,0.05,sg003
130,0.20393614,0.05,sg003
131,0.19781578,0.05,sg003
132,0.023745932,0.05,sg003
133,0.09651545,0.05,sg003
134,0.0093669,0.05,sg003
135,0.012273958,0.05,sg003
136,0.05831648,0.05,sg003
137,0.19059283,0.05,sg003
138,0.054743342,0.05,sg003
139,4.7354697e-05,0.05,sg003
140,0.16466232,0.05,sg005
141,0.0010071957,0.05,sg005
142,0.00889713,0.05,sg005
143,0.20389107,0.05,sg005
144,0.00015908181,0.05,sg005
