,Stability,Std_Deviation,Method
0,5357.25,0.05,grad
1,16872.509765625,0.05,grad
2,6320.48779296875,0.05,grad
3,165.1505889892578,0.05,grad
4,42.73720932006836,0.05,grad
5,1439.1260986328125,0.05,grad
6,32.1921272277832,0.05,grad
7,858.175048828125,0.05,grad
8,43.98715591430664,0.05,grad
9,44424928.0,0.05,grad
10,57.83977127075195,0.05,grad
11,37.47172927856445,0.05,grad
12,63.55405807495117,0.05,grad
13,32.61806106567383,0.05,grad
14,1047.3221435546875,0.05,grad
15,44.39945602416992,0.05,grad
16,3943.490234375,0.05,grad
17,34.13587188720703,0.05,grad
18,206.95639038085938,0.05,grad
19,185.087646484375,0.05,grad
20,4027.15966796875,0.05,grad
21,422.9231262207031,0.05,grad
22,31.69382667541504,0.05,grad
23,768.4466552734375,0.05,grad
24,34.227500915527344,0.05,grad
25,162.8261260986328,0.05,grad
26,32.463584899902344,0.05,grad
27,2678.549560546875,0.05,grad
28,946.1124267578125,0.05,grad
29,29.559499740600586,0.05,grad
30,14302.9755859375,0.05,grad
31,130.592529296875,0.05,grad
32,32.29762649536133,0.05,grad
33,44963.28515625,0.05,grad
34,99.2862777709961,0.05,grad
35,2937.4544604634493,0.05,ig
36,11075.838593874387,0.05,ig
37,2456.099496355957,0.05,ig
38,715.4118801125733,0.05,ig
39,351.03018097780296,0.05,ig
40,5003.466432282708,0.05,ig
41,1162.3072519434747,0.05,ig
42,692.6353647378272,0.05,ig
43,28609.091007456802,0.05,ig
44,5710.538412436638,0.05,ig
45,267563340.43276367,0.05,ig
46,66784.64830662105,0.05,ig
47,4764.618472935753,0.05,ig
48,918.8298282565434,0.05,ig
49,861.7759327125362,0.05,ig
50,221.4774639551636,0.05,ig
51,876.3562738390646,0.05,ig
52,881.0173416154365,0.05,ig
53,321.59045119941516,0.05,ig
54,349.1590178623212,0.05,ig
55,7646.882997631461,0.05,ig
56,5416.284614638253,0.05,ig
57,442.7205115472828,0.05,ig
58,660.5809746122496,0.05,ig
59,1329.086185752277,0.05,ig
60,1144.2571928747843,0.05,ig
61,1168.6892345126091,0.05,ig
62,2235.3156337523856,0.05,ig
63,1090.4444924990937,0.05,ig
64,414.38179801943244,0.05,ig
65,1341.394605767414,0.05,ig
66,472.4938032102554,0.05,ig
67,2051.6235632641014,0.05,ig
68,16716.424933654507,0.05,ig
69,5902.670405449916,0.05,ig
70,12334.5888671875,0.05,itg
71,126553.34375,0.05,itg
72,592696.6875,0.05,itg
73,70.75780487060547,0.05,itg
74,314.9747619628906,0.05,itg
75,53435.8671875,0.05,itg
76,32.86865997314453,0.05,itg
77,9510.4755859375,0.05,itg
78,31.284679412841797,0.05,itg
79,3283.545166015625,0.05,itg
80,32.641048431396484,0.05,itg
81,304.791259765625,0.05,itg
82,43.548465728759766,0.05,itg
83,117.86051940917969,0.05,itg
84,2248.099365234375,0.05,itg
85,102.72328186035156,0.05,itg
86,5833.0966796875,0.05,itg
87,23.709590911865234,0.05,itg
88,950.3702392578125,0.05,itg
89,449.73016357421875,0.05,itg
90,1537.693359375,0.05,itg
91,529.1852416992188,0.05,itg
92,376.333740234375,0.05,itg
93,5196.58935546875,0.05,itg
94,28.447277069091797,0.05,itg
95,34.3621940612793,0.05,itg
96,42.156494140625,0.05,itg
97,3165.493408203125,0.05,itg
98,2117.22314453125,0.05,itg
99,270.28155517578125,0.05,itg
100,825.8745727539062,0.05,itg
101,165.04132080078125,0.05,itg
102,32.56874084472656,0.05,itg
103,9984.1796875,0.05,itg
104,216.31092834472656,0.05,itg
105,6980.10595703125,0.05,sg005
106,34.12010955810547,0.05,sg005
107,71.21604919433594,0.05,sg005
108,15.637850761413574,0.05,sg005
109,33.65080642700195,0.05,sg005
110,85.44929504394531,0.05,sg005
111,110.52581024169922,0.05,sg005
112,99.80001068115234,0.05,sg005
113,439678.65625,0.05,sg005
114,31.088825225830078,0.05,sg005
115,80960608.0,0.05,sg005
116,82309.3359375,0.05,sg005
117,310.88958740234375,0.05,sg005
118,79.5939712524414,0.05,sg005
119,159.36676025390625,0.05,sg005
120,38.911033630371094,0.05,sg005
121,15.246491432189941,0.05,sg005
122,704.5958251953125,0.05,sg005
123,28.1760311126709,0.05,sg005
124,12.81181812286377,0.05,sg005
125,10.609591484069824,0.05,sg005
126,43.82137680053711,0.05,sg005
127,141.14617919921875,0.05,sg005
128,87.07997131347656,0.05,sg005
129,755.8250122070312,0.05,sg005
130,462.8983154296875,0.05,sg005
131,284.52691650390625,0.05,sg005
132,45.58993911743164,0.05,sg005
133,40.81629943847656,0.05,sg005
134,28.789995193481445,0.05,sg005
135,11.22211742401123,0.05,sg005
136,10.68263053894043,0.05,sg005
137,12709.3955078125,0.05,sg005
138,117.81310272216797,0.05,sg005
139,7210.046875,0.05,sg005
140,26831.828125,0.05,shap
141,3506.043701171875,0.05,shap
142,1036.9415283203125,0.05,shap
143,2411.812255859375,0.05,shap
144,578.544677734375,0.05,shap
145,4256.2802734375,0.05,shap
146,1314.5098876953125,0.05,shap
147,2777.8642578125,0.05,shap
148,15718.3720703125,0.05,shap
149,412.62481689453125,0.05,shap
150,4420115968.0,0.05,shap
151,43334.8203125,0.05,shap
152,2997.271484375,0.05,shap
153,4821.35498046875,0.05,shap
154,838.2081909179688,0.05,shap
155,6156.919921875,0.05,shap
156,2932.540771484375,0.05,shap
157,140745.296875,0.05,shap
158,1188.6004638671875,0.05,shap
159,352141.78125,0.05,shap
160,1918.3211669921875,0.05,shap
161,542.0424194335938,0.05,shap
162,6139.35107421875,0.05,shap
163,184.30810546875,0.05,shap
164,9979.724609375,0.05,shap
165,878.1755981445312,0.05,shap
166,7175.52978515625,0.05,shap
167,5638.232421875,0.05,shap
168,222.1116485595703,0.05,shap
169,4211.0712890625,0.05,shap
170,1840.5374755859375,0.05,shap
171,3328.217041015625,0.05,shap
172,7188.96630859375,0.05,shap
173,46831.24609375,0.05,shap
174,7517.3623046875,0.05,shap
175,527.2073974609375,0.05,lime005
176,521.6808471679688,0.05,lime005
177,10072.9013671875,0.05,lime005
178,468.02978515625,0.05,lime005
179,8085.28662109375,0.05,lime005
180,516.2275390625,0.05,lime005
181,1797.3663330078125,0.05,lime005
