,Stability,Std_Deviation,Method
0,825.3421630859375,0.05,grad
1,1529.6549072265625,0.05,grad
2,1431.4080810546875,0.05,grad
3,686.6417236328125,0.05,grad
4,4573.7412109375,0.05,grad
5,4452.88671875,0.05,grad
6,4338.59326171875,0.05,grad
7,11.88823413848877,0.05,grad
8,644.4597778320312,0.05,grad
9,518.9341430664062,0.05,grad
10,4712.759765625,0.05,grad
11,433.56622314453125,0.05,grad
12,522.2535400390625,0.05,grad
13,4511.7001953125,0.05,grad
14,1294.6898193359375,0.05,grad
15,370.72772216796875,0.05,grad
16,2494.8896484375,0.05,grad
17,497.82135009765625,0.05,grad
18,357.91845703125,0.05,grad
19,3666.1220703125,0.05,grad
20,555.6235961914062,0.05,grad
21,581.3009033203125,0.05,grad
22,833.4442749023438,0.05,grad
23,3974.715087890625,0.05,grad
24,384.809814453125,0.05,grad
25,533.5228271484375,0.05,grad
26,577.3422241210938,0.05,grad
27,343.79248046875,0.05,grad
28,392.4519958496094,0.05,grad
29,1428.3328857421875,0.05,grad
30,619.5760498046875,0.05,grad
31,1062.3621826171875,0.05,grad
32,2085.324951171875,0.05,grad
33,1073.2369384765625,0.05,grad
34,1063.5333251953125,0.05,grad
35,1433.2030013990275,0.05,ig
36,1785.8082193926937,0.05,ig
37,1820.835283056538,0.05,ig
38,1258.2802673208294,0.05,ig
39,3215.8085878642732,0.05,ig
40,2228.2868188014786,0.05,ig
41,3060.600199875507,0.05,ig
42,118398989.21570629,0.05,ig
43,1279.630322374692,0.05,ig
44,1222.498242694414,0.05,ig
45,3317.766013950024,0.05,ig
46,58.261170210403925,0.05,ig
47,333.2292653243829,0.05,ig
48,1940.563995173785,0.05,ig
49,1743.1251629560804,0.05,ig
50,73.96132893217789,0.05,ig
51,1377.1026861863909,0.05,ig
52,254.01785392328966,0.05,ig
53,79.26944813013337,0.05,ig
54,2894.038551520963,0.05,ig
55,1132.2713652566338,0.05,ig
56,1160.5251696163034,0.05,ig
57,1299.0110581356614,0.05,ig
