,Faithfulness,Std_Deviation,Method
0,0.10281975,0.05,grad
1,0.26319623,0.05,grad
2,0.22598846,0.05,grad
3,0.355631,0.05,grad
4,0.29534096,0.05,grad
5,0.14305879,0.05,grad
6,0.10673831,0.05,grad
7,0.4118237,0.05,grad
8,0.26709488,0.05,grad
9,0.33748803,0.05,grad
10,0.30588922,0.05,grad
11,0.10998209,0.05,grad
12,0.17689995,0.05,grad
13,0.18458699,0.05,grad
14,0.08032646,0.05,grad
15,0.12524264,0.05,grad
16,0.10571633,0.05,grad
17,0.4091673,0.05,grad
18,0.3503771,0.05,grad
19,0.23076127,0.05,grad
20,0.3342815,0.05,grad
21,0.39265758,0.05,grad
22,0.13033976,0.05,grad
23,0.25400147,0.05,grad
24,0.25966418,0.05,grad
25,0.13765028,0.05,grad
26,0.096858375,0.05,grad
27,0.13988705,0.05,grad
28,0.06540473,0.05,grad
29,0.032974187,0.05,grad
30,0.12268905,0.05,grad
31,0.2658893,0.05,grad
32,0.31108493,0.05,grad
33,0.08307467,0.05,grad
34,0.2444063,0.05,grad
35,0.10513681,0.05,ig
36,0.21606691,0.05,ig
37,0.2832019,0.05,ig
38,0.38831508,0.05,ig
39,0.31271815,0.05,ig
40,0.116568014,0.05,ig
41,0.12467711,0.05,ig
42,0.41394806,0.05,ig
43,0.33653736,0.05,ig
44,0.3347577,0.05,ig
45,0.29444495,0.05,ig
46,0.14231415,0.05,ig
47,0.1786773,0.05,ig
48,0.2293136,0.05,ig
49,0.08650555,0.05,ig
50,0.13915415,0.05,ig
51,0.10171529,0.05,ig
52,0.3719542,0.05,ig
53,0.3964811,0.05,ig
54,0.28076842,0.05,ig
55,0.33510956,0.05,ig
56,0.3610114,0.05,ig
57,0.14167492,0.05,ig
58,0.30704373,0.05,ig
59,0.30353868,0.05,ig
60,0.114546984,0.05,ig
61,0.10004928,0.05,ig
62,0.13140585,0.05,ig
63,0.101015285,0.05,ig
64,0.020116797,0.05,ig
65,0.12616922,0.05,ig
66,0.3063257,0.05,ig
67,0.32128128,0.05,ig
68,0.08723736,0.05,ig
69,0.23263796,0.05,ig
70,0.3806178,0.05,itg
71,0.012283967,0.05,itg
72,0.044358563,0.05,itg
73,0.16481006,0.05,itg
74,0.078182526,0.05,itg
75,0.38681594,0.05,itg
76,0.35280094,0.05,itg
77,0.23897028,0.05,itg
78,0.08364549,0.05,itg
79,0.146231,0.05,itg
80,0.2874565,0.05,itg
81,0.36369976,0.05,itg
82,0.012834186,0.05,itg
83,0.03853432,0.05,itg
84,0.3700356,0.05,itg
85,0.40574086,0.05,itg
86,0.40202916,0.05,itg
87,0.1864428,0.05,itg
88,0.16705853,0.05,itg
89,0.25806862,0.05,itg
90,0.05351879,0.05,itg
91,0.20526843,0.05,itg
92,0.40698594,0.05,itg
93,0.051335286,0.05,itg
94,0.2432973,0.05,itg
95,0.11714888,0.05,itg
96,0.3436131,0.05,itg
97,0.41561645,0.05,itg
98,0.37597892,0.05,itg
99,0.32792267,0.05,itg
100,0.15316376,0.05,itg
101,0.03536832,0.05,itg
102,0.2503661,0.05,itg
103,0.29410645,0.05,itg
104,0.025101585,0.05,itg
105,0.100518666,0.05,sg003
106,0.008435865,0.05,sg003
107,0.020945473,0.05,sg003
108,0.113666795,0.05,sg003
109,0.062394127,0.05,sg003
110,0.14708361,0.05,sg003
111,0.1430668,0.05,sg003
112,0.1636689,0.05,sg003
113,0.034848567,0.05,sg003
114,0.09378524,0.05,sg003
115,0.035356525,0.05,sg003
116,0.12334841,0.05,sg003
117,0.005096406,0.05,sg003
118,0.021342143,0.05,sg003
119,0.09587898,0.05,sg003
120,0.14406352,0.05,sg003
121,0.14791562,0.05,sg003
122,0.14890192,0.05,sg003
123,0.11444262,0.05,sg003
