,Stability,Std_Deviation,Method
0,825.3497924804688,0.05,grad
1,1529.658935546875,0.05,grad
2,1431.456787109375,0.05,grad
3,686.6426391601562,0.05,grad
4,4574.56982421875,0.05,grad
5,4502.8017578125,0.05,grad
6,4338.61083984375,0.05,grad
7,11.88832950592041,0.05,grad
8,644.45947265625,0.05,grad
9,518.933837890625,0.05,grad
10,4712.783203125,0.05,grad
11,469.3260498046875,0.05,grad
12,522.263427734375,0.05,grad
13,4572.65478515625,0.05,grad
14,1294.7220458984375,0.05,grad
15,484.7465515136719,0.05,grad
16,2529.6689453125,0.05,grad
17,497.9078063964844,0.05,grad
18,424.8528137207031,0.05,grad
19,3666.225830078125,0.05,grad
20,555.6263427734375,0.05,grad
21,581.3040771484375,0.05,grad
22,833.44384765625,0.05,grad
23,3974.719482421875,0.05,grad
24,384.8103332519531,0.05,grad
25,533.5230712890625,0.05,grad
26,577.3427734375,0.05,grad
27,343.7926330566406,0.05,grad
28,392.4523620605469,0.05,grad
29,1428.3475341796875,0.05,grad
30,619.5757446289062,0.05,grad
31,1062.3638916015625,0.05,grad
32,2085.365234375,0.05,grad
33,1073.2381591796875,0.05,grad
34,1063.5386962890625,0.05,grad
35,1475.494039244215,0.05,ig
36,1960.6233095637137,0.05,ig
37,1743.2182914436673,0.05,ig
38,1382.0074774890572,0.05,ig
39,3356.534198807492,0.05,ig
40,2550.951079779074,0.05,ig
41,3249.1343201362606,0.05,ig
42,138041433.61993045,0.05,ig
43,1302.094239527704,0.05,ig
44,1203.0434814348755,0.05,ig
45,3340.376884405996,0.05,ig
46,61.965584086780524,0.05,ig
47,380.42721590155514,0.05,ig
48,1963.694664914465,0.05,ig
49,1760.014975289189,0.05,ig
50,72.04867541265898,0.05,ig
51,1515.9369651562665,0.05,ig
52,291.5547150062726,0.05,ig
53,79.47470886209501,0.05,ig
54,3004.0720185545038,0.05,ig
55,1168.3707581075976,0.05,ig
56,1258.4370995344173,0.05,ig
57,1475.4932591370207,0.05,ig
58,3176.6996000782524,0.05,ig
59,1078.6699530122066,0.05,ig
60,1246.7454988159673,0.05,ig
61,1257.4599192394737,0.05,ig
62,1038.4667253284297,0.05,ig
63,1080.0649656233625,0.05,ig
64,1780.1197869217447,0.05,ig
65,1319.1977872078414,0.05,ig
66,1521.4717136444583,0.05,ig
67,2289.363058672847,0.05,ig
68,1670.3572082155856,0.05,ig
69,1642.7295955573647,0.05,ig
70,3886.2646484375,0.05,itg
71,3930.469970703125,0.05,itg
72,3887.559814453125,0.05,itg
73,1894.8636474609375,0.05,itg
74,23037.705078125,0.05,itg
75,2248.180908203125,0.05,itg
76,29310.322265625,0.05,itg
77,27.837369918823242,0.05,itg
78,236.7788848876953,0.05,itg
79,296.79351806640625,0.05,itg
80,11552.1728515625,0.05,itg
81,2488.4208984375,0.05,itg
82,30616.75390625,0.05,itg
83,3030.981689453125,0.05,itg
84,1522.1861572265625,0.05,itg
85,1734.3187255859375,0.05,itg
86,845.9983520507812,0.05,itg
87,1750.9228515625,0.05,itg
88,1480.44140625,0.05,itg
89,16885.73828125,0.05,itg
90,395.6297912597656,0.05,itg
91,1960.993896484375,0.05,itg
92,343.7356872558594,0.05,itg
93,9571.0830078125,0.05,itg
94,461.1360168457031,0.05,itg
95,1382.1463623046875,0.05,itg
96,2194.085205078125,0.05,itg
97,480.00799560546875,0.05,itg
98,765.6036987304688,0.05,itg
99,8188.27294921875,0.05,itg
100,216.27024841308594,0.05,itg
101,6812.578125,0.05,itg
102,2421.721923828125,0.05,itg
103,2882.625732421875,0.05,itg
104,2193.259521484375,0.05,itg
105,5.67988395690918,0.05,sg005
106,10.703866004943848,0.05,sg005
107,26.949352264404297,0.05,sg005
108,35.990562438964844,0.05,sg005
109,12.657730102539062,0.05,sg005
110,154.6512908935547,0.05,sg005
111,13.595027923583984,0.05,sg005
112,1005894272.0,0.05,sg005
113,85.49958801269531,0.05,sg005
114,120.05219268798828,0.05,sg005
115,412.78912353515625,0.05,sg005
116,5.585726737976074,0.05,sg005
117,54.708866119384766,0.05,sg005
118,55.14222717285156,0.05,sg005
119,26.51150131225586,0.05,sg005
120,1375.6168212890625,0.05,sg005
121,16.305986404418945,0.05,sg005
122,30.09054183959961,0.05,sg005
123,8.061667442321777,0.05,sg005
124,28.63880729675293,0.05,sg005
125,315.22589111328125,0.05,sg005
126,59.24827575683594,0.05,sg005
127,34.92336654663086,0.05,sg005
128,79.07808685302734,0.05,sg005
129,40.52092361450195,0.05,sg005
130,19.899782180786133,0.05,sg005
131,176.44998168945312,0.05,sg005
132,18.69974708557129,0.05,sg005
133,179.2402801513672,0.05,sg005
134,12.522302627563477,0.05,sg005
135,79.4028549194336,0.05,sg005
