,Faithfulness,Std_Deviation,Method
0,0.011704732,0.05,grad
1,0.018616436,0.05,grad
2,0.00918765,0.05,grad
3,0.02663619,0.05,grad
4,0.020549044,0.05,grad
5,0.020733424,0.05,grad
6,0.0109235,0.05,grad
7,0.022280335,0.05,grad
8,0.020160614,0.05,grad
9,0.021850532,0.05,grad
10,0.020306887,0.05,grad
11,0.012261789,0.05,grad
12,0.024373708,0.05,grad
13,0.02232829,0.05,grad
14,0.014462855,0.05,grad
15,0.022973528,0.05,grad
16,0.025397182,0.05,grad
17,0.024227703,0.05,grad
18,0.016990328,0.05,grad
19,0.016952898,0.05,grad
20,0.0224598,0.05,grad
21,0.023988275,0.05,grad
22,0.021878269,0.05,grad
23,0.025305899,0.05,grad
24,0.020651247,0.05,grad
25,0.018192852,0.05,grad
26,0.021607118,0.05,grad
27,0.022066617,0.05,grad
28,0.008197496,0.05,grad
29,0.025617376,0.05,grad
30,0.010365207,0.05,ig
31,0.021627868,0.05,ig
32,0.011212216,0.05,ig
33,0.026707096,0.05,ig
34,0.023203246,0.05,ig
35,0.020633517,0.05,ig
36,0.010966437,0.05,ig
37,0.023421068,0.05,ig
38,0.022500044,0.05,ig
39,0.021706223,0.05,ig
40,0.01992375,0.05,ig
41,0.012455085,0.05,ig
42,0.025229726,0.05,ig
43,0.020418076,0.05,ig
44,0.01678794,0.05,ig
45,0.026414378,0.05,ig
46,0.022426654,0.05,ig
47,0.020706961,0.05,ig
48,0.018953806,0.05,ig
49,0.021471847,0.05,ig
50,0.018099427,0.05,ig
51,0.021605378,0.05,ig
52,0.01837874,0.05,ig
53,0.023238538,0.05,ig
54,0.023950603,0.05,ig
55,0.01853313,0.05,ig
56,0.02448204,0.05,ig
57,0.015691875,0.05,ig
58,0.0111063,0.05,ig
59,0.026253205,0.05,ig
60,0.0097710155,0.05,itg
61,0.020085,0.05,itg
62,0.012426994,0.05,itg
63,0.029172495,0.05,itg
64,0.022175727,0.05,itg
65,0.018579505,0.05,itg
66,0.008588873,0.05,itg
67,0.02423774,0.05,itg
68,0.019742107,0.05,itg
69,0.01979843,0.05,itg
70,0.02524396,0.05,itg
71,0.012978302,0.05,itg
72,0.025209663,0.05,itg
73,0.021568075,0.05,itg
74,0.01735513,0.05,itg
75,0.026811821,0.05,itg
76,0.024639983,0.05,itg
77,0.018193163,0.05,itg
78,0.01872044,0.05,itg
79,0.019740967,0.05,itg
80,0.022839505,0.05,itg
81,0.02271856,0.05,itg
82,0.02030766,0.05,itg
83,0.022907441,0.05,itg
84,0.022120638,0.05,itg
85,0.021156687,0.05,itg
86,0.023272667,0.05,itg
87,0.021010919,0.05,itg
88,0.01208224,0.05,itg
89,0.023256155,0.05,itg
90,0.010759626,0.05,sg
91,0.008603881,0.05,sg
92,0.009063147,0.05,sg
93,0.009631048,0.05,sg
94,0.010688987,0.05,sg
95,0.008973327,0.05,sg
96,0.009835154,0.05,sg
97,0.006704562,0.05,sg
98,0.009567803,0.05,sg
99,0.009839012,0.05,sg
100,0.007840069,0.05,sg
101,0.009183161,0.05,sg
102,0.007639383,0.05,sg
103,0.008024858,0.05,sg
104,0.007074412,0.05,sg
105,0.008857253,0.05,sg
106,0.008026447,0.05,sg
107,0.010284077,0.05,sg
108,0.008703204,0.05,sg
109,0.0076416503,0.05,sg
110,0.008464825,0.05,sg
111,0.009841794,0.05,sg
112,0.009141595,0.05,sg
113,0.009933118,0.05,sg
114,0.009431167,0.05,sg
115,0.00851144,0.05,sg
116,0.011356427,0.05,sg
117,0.007864997,0.05,sg
118,0.010770855,0.05,sg
119,0.007748861,0.05,sg
120,0.020837074,0.05,lrp
121,0.02617263,0.05,lrp
122,0.02191667,0.05,lrp
123,0.014705768,0.05,lrp
124,0.020329969,0.05,lrp
125,0.021421984,0.05,lrp
126,0.010198559,0.05,lrp
127,0.012150862,0.05,lrp
128,0.010228645,0.05,lrp
129,0.02246884,0.05,lrp
130,0.010478053,0.05,lrp
131,0.022635723,0.05,lrp
132,0.01395138,0.05,lrp
133,0.012752669,0.05,lrp
134,0.015744133,0.05,lrp
135,0.013611167,0.05,lrp
136,0.014571116,0.05,lrp
137,0.022042291,0.05,lrp
138,0.019025601,0.05,lrp
139,0.009921597,0.05,lrp
140,0.011534956,0.05,lrp
141,0.024128444,0.05,lrp
142,0.011505143,0.05,lrp
143,0.012023554,0.05,lrp
144,0.012212996,0.05,lrp
145,0.0117823025,0.05,lrp
146,0.013451078,0.05,lrp
147,0.018612118,0.05,lrp
148,0.026295107,0.05,lrp
149,0.011579313,0.05,lrp
150,0.0110096885,0.05,shap
151,0.021114068,0.05,shap
152,0.011775516,0.05,shap
153,0.022425884,0.05,shap
154,0.024735028,0.05,shap
