,Stability,Std_Deviation,Method
0,660.5499877929688,0.05,grad
1,109.8938980102539,0.05,grad
2,43.48784637451172,0.05,grad
3,155.85157775878906,0.05,grad
4,259.6018371582031,0.05,grad
5,629.7570190429688,0.05,grad
6,2258.82763671875,0.05,grad
7,401.1829833984375,0.05,grad
8,465.0908508300781,0.05,grad
9,466.091064453125,0.05,grad
10,1906.858642578125,0.05,grad
11,99.67689514160156,0.05,grad
12,189.3206024169922,0.05,grad
13,411.1844787597656,0.05,grad
14,81.05570220947266,0.05,grad
15,3401.4462890625,0.05,grad
16,200.61558532714844,0.05,grad
17,132.37806701660156,0.05,grad
18,1045.911865234375,0.05,grad
19,52.638282775878906,0.05,grad
20,64.13993072509766,0.05,grad
21,161.37364196777344,0.05,grad
22,551.1127319335938,0.05,grad
23,305.6806335449219,0.05,grad
24,482.302490234375,0.05,grad
25,463.85009765625,0.05,grad
26,189.6913604736328,0.05,grad
27,34.608917236328125,0.05,grad
28,73.3066635131836,0.05,grad
29,158.1873016357422,0.05,grad
30,41.49625060415878,0.05,ig
31,92.7419083506129,0.05,ig
32,30.51269778244555,0.05,ig
33,14021.857297909713,0.05,ig
34,79.86966866576618,0.05,ig
35,656.6312823050719,0.05,ig
36,11.600665221770974,0.05,ig
37,560.753811683917,0.05,ig
38,38.86679676361347,0.05,ig
39,1579.8804958738071,0.05,ig
40,1258.2995720021227,0.05,ig
41,972.7780340773402,0.05,ig
42,161.40053048424426,0.05,ig
43,130.36330237251093,0.05,ig
44,4450.561835889637,0.05,ig
45,268.71204715860245,0.05,ig
46,209.8293103214319,0.05,ig
47,1025.934064355281,0.05,ig
48,324.25693759387946,0.05,ig
49,29.091190496184243,0.05,ig
50,10.240718715481295,0.05,ig
51,537.2817744741527,0.05,ig
52,811.7518353715162,0.05,ig
53,130.21433725252405,0.05,ig
54,399.26984547514996,0.05,ig
55,277.0665601709246,0.05,ig
56,236.0152849666955,0.05,ig
57,14.050510740432735,0.05,ig
58,29.454863942141785,0.05,ig
59,89.5533514547525,0.05,ig
60,45.065425872802734,0.05,itg
61,137.06211853027344,0.05,itg
62,108.62873077392578,0.05,itg
63,144.8878936767578,0.05,itg
64,86.6195297241211,0.05,itg
65,62.59488296508789,0.05,itg
66,157.70115661621094,0.05,itg
67,747.629150390625,0.05,itg
68,1873.163818359375,0.05,itg
69,197.064697265625,0.05,itg
70,65.19465637207031,0.05,itg
71,78.81497955322266,0.05,itg
72,463.5779113769531,0.05,itg
73,67.28629302978516,0.05,itg
74,89.8861312866211,0.05,itg
75,220.85682678222656,0.05,itg
76,45.334781646728516,0.05,itg
77,270.17547607421875,0.05,itg
78,516.9020385742188,0.05,itg
79,25.783159255981445,0.05,itg
80,74.42385864257812,0.05,itg
81,123.73207092285156,0.05,itg
82,125.57624053955078,0.05,itg
83,769.822021484375,0.05,itg
84,118.4913558959961,0.05,itg
85,140.67518615722656,0.05,itg
86,66.64013671875,0.05,itg
87,21.352678298950195,0.05,itg
88,45.68227005004883,0.05,itg
89,1608.786865234375,0.05,itg
90,26.925493240356445,0.05,sg
91,35.40858459472656,0.05,sg
92,44.7045783996582,0.05,sg
93,9.816269874572754,0.05,sg
94,174.042236328125,0.05,sg
95,35.43782424926758,0.05,sg
96,45.921669006347656,0.05,sg
97,17.77165412902832,0.05,sg
98,1372.540283203125,0.05,sg
99,200.35289001464844,0.05,sg
100,247.9647216796875,0.05,sg
101,18.241952896118164,0.05,sg
102,8.954627990722656,0.05,sg
103,67.88348388671875,0.05,sg
104,20.546249389648438,0.05,sg
105,34.27125930786133,0.05,sg
106,50.60435485839844,0.05,sg
107,9.792182922363281,0.05,sg
108,4699.69482421875,0.05,sg
109,83.03740692138672,0.05,sg
110,68.06553649902344,0.05,sg
111,204.61077880859375,0.05,sg
112,109.77264404296875,0.05,sg
113,184.263427734375,0.05,sg
114,41.37175750732422,0.05,sg
115,21.244121551513672,0.05,sg
116,52.28120422363281,0.05,sg
117,15.96497917175293,0.05,sg
118,287.3544616699219,0.05,sg
119,126.27880859375,0.05,sg
120,293.8954162597656,0.05,lrp
121,77451.7890625,0.05,lrp
122,865.218994140625,0.05,lrp
