,Faithfulness,Std_Deviation,Method
0,0.24382539,0.05,grad
1,0.003384042,0.05,grad
2,0.0087799,0.05,grad
3,0.24396932,0.05,grad
4,0.26416194,0.05,grad
5,0.0153463865,0.05,grad
6,0.13491367,0.05,grad
7,0.2182438,0.05,grad
8,0.0067725354,0.05,grad
9,0.089313775,0.05,grad
10,0.012291043,0.05,grad
11,0.089164846,0.05,grad
12,0.107663676,0.05,grad
13,0.18431087,0.05,grad
14,0.03388866,0.05,grad
15,0.17974131,0.05,grad
16,0.15119384,0.05,grad
17,0.18625587,0.05,grad
18,0.16992001,0.05,grad
19,0.1611693,0.05,grad
20,0.21310465,0.05,grad
21,0.16788842,0.05,grad
22,0.046317153,0.05,grad
23,0.27980968,0.05,grad
24,0.06410029,0.05,grad
25,0.27226153,0.05,grad
26,0.1345955,0.05,grad
27,0.18488406,0.05,grad
28,0.2089288,0.05,grad
29,0.03749257,0.05,grad
30,0.2722839,0.05,ig
31,0.0057781273,0.05,ig
32,0.011707468,0.05,ig
33,0.22054476,0.05,ig
34,0.30177766,0.05,ig
35,0.018704932,0.05,ig
36,0.19368824,0.05,ig
37,0.2401272,0.05,ig
38,0.007065441,0.05,ig
39,0.07228276,0.05,ig
40,0.015186242,0.05,ig
41,0.05697673,0.05,ig
42,0.08258919,0.05,ig
43,0.17428418,0.05,ig
44,0.060690027,0.05,ig
45,0.1771369,0.05,ig
46,0.17549177,0.05,ig
47,0.17480236,0.05,ig
48,0.1383618,0.05,ig
49,0.18308279,0.05,ig
50,0.18781364,0.05,ig
51,0.18443069,0.05,ig
52,0.036967367,0.05,ig
53,0.28133026,0.05,ig
54,0.09372772,0.05,ig
55,0.25928986,0.05,ig
56,0.12939242,0.05,ig
57,0.19393355,0.05,ig
58,0.20498277,0.05,ig
59,0.03454677,0.05,ig
60,0.23444474,0.05,itg
61,0.0051737837,0.05,itg
62,0.009127236,0.05,itg
63,0.26434338,0.05,itg
64,0.30105394,0.05,itg
65,0.016317181,0.05,itg
66,0.14294666,0.05,itg
67,0.21509795,0.05,itg
68,0.0060934997,0.05,itg
69,0.072467074,0.05,itg
70,0.015430472,0.05,itg
71,0.060469985,0.05,itg
72,0.088798866,0.05,itg
73,0.2559426,0.05,itg
74,0.039855585,0.05,itg
75,0.19498375,0.05,itg
76,0.16700941,0.05,itg
77,0.20089503,0.05,itg
78,0.11440446,0.05,itg
79,0.20930141,0.05,itg
80,0.19821176,0.05,itg
81,0.1727246,0.05,itg
82,0.04183621,0.05,itg
83,0.21304198,0.05,itg
84,0.10204504,0.05,itg
85,0.27284345,0.05,itg
86,0.12852824,0.05,itg
87,0.19781889,0.05,itg
88,0.27000597,0.05,itg
89,0.033604458,0.05,itg
90,0.21129146,0.05,sg
91,0.0042873444,0.05,sg
92,0.008624029,0.05,sg
93,0.23332159,0.05,sg
94,0.26023814,0.05,sg
95,0.015725581,0.05,sg
96,0.12542087,0.05,sg
97,0.2344535,0.05,sg
98,0.0066623623,0.05,sg
99,0.08145462,0.05,sg
100,0.012015169,0.05,sg
101,0.039057013,0.05,sg
102,0.09481191,0.05,sg
103,0.19685385,0.05,sg
104,0.042971324,0.05,sg
105,0.19930454,0.05,sg
106,0.12877986,0.05,sg
107,0.17812839,0.05,sg
108,0.13076563,0.05,sg
109,0.11441351,0.05,sg
110,0.18810897,0.05,sg
111,0.1849826,0.05,sg
112,0.029411554,0.05,sg
113,0.2578707,0.05,sg
114,0.08193357,0.05,sg
115,0.265753,0.05,sg
116,0.1252898,0.05,sg
117,0.198344,0.05,sg
118,0.24405344,0.05,sg
119,0.03551862,0.05,sg
120,0.29790512,0.05,lrp
121,0.019147255,0.05,lrp
122,0.0074775117,0.05,lrp
123,0.27048653,0.05,lrp
124,0.3268371,0.05,lrp
125,0.025195599,0.05,lrp
126,0.14757417,0.05,lrp
127,0.20958593,0.05,lrp
128,0.007407194,0.05,lrp
129,0.088119105,0.05,lrp
130,0.0168056,0.05,lrp
131,0.046849728,0.05,lrp
132,0.08627225,0.05,lrp
133,0.2380551,0.05,lrp
134,0.10662175,0.05,lrp
135,0.2458898,0.05,lrp
136,0.20452534,0.05,lrp
137,0.3197523,0.05,lrp
138,0.1684503,0.05,lrp
139,0.18717857,0.05,lrp
140,0.2893323,0.05,lrp
141,0.21620908,0.05,lrp
142,0.034959465,0.05,lrp
143,0.28975347,0.05,lrp
144,0.15404807,0.05,lrp
145,0.31761637,0.05,lrp
146,0.19045334,0.05,lrp
147,0.21080868,0.05,lrp
148,0.24413294,0.05,lrp
149,0.039424133,0.05,lrp
150,0.28019905,0.05,shap
151,0.006126048,0.05,shap
152,0.0125572905,0.05,shap
153,0.23719506,0.05,shap
154,0.26506564,0.05,shap
155,0.02177366,0.05,shap
156,0.16122402,0.05,shap
157,0.2262213,0.05,shap
158,0.0062074764,0.05,shap
159,0.092742175,0.05,shap
160,0.00991213,0.05,shap
161,0.0602029,0.05,shap
162,0.081158616,0.05,shap
163,0.23686261,0.05,shap
164,0.04561916,0.05,shap
165,0.21222927,0.05,shap
166,0.16056213,0.05,shap
167,0.18483952,0.05,shap
168,0.14286827,0.05,shap
169,0.20373535,0.05,shap
170,0.21613382,0.05,shap
171,0.18145981,0.05,shap
172,0.036882762,0.05,shap
173,0.24695879,0.05,shap
174,0.08062527,0.05,shap
175,0.27998784,0.05,shap
176,0.16683474,0.05,shap
177,0.21686767,0.05,shap
178,0.24034534,0.05,shap
179,0.03137617,0.05,shap
180,0.26113865,0.05,lime
181,0.0037330939,0.05,lime
182,0.010961963,0.05,lime
183,0.22234823,0.05,lime
184,0.27349046,0.05,lime
185,0.0150903165,0.05,lime
186,0.11201218,0.05,lime
187,0.24272151,0.05,lime
188,0.0110843405,0.05,lime
189,0.068612345,0.05,lime
190,0.016962016,0.05,lime
191,0.057321697,0.05,lime
192,0.088252045,0.05,lime
193,0.21921961,0.05,lime
194,0.045021273,0.05,lime
195,0.19094677,0.05,lime
196,0.15693386,0.05,lime
197,0.19034405,0.05,lime
198,0.11303027,0.05,lime
199,0.109041005,0.05,lime
200,0.19783008,0.05,lime
201,0.16926152,0.05,lime
202,0.0429783,0.05,lime
203,0.26165164,0.05,lime
204,0.086092636,0.05,lime
205,0.24931383,0.05,lime
206,0.142464,0.05,lime
207,0.20774774,0.05,lime
208,0.23841017,0.05,lime
209,0.036183618,0.05,lime
