,Stability,Std_Deviation,Method
0,6.629535675048828,0.05,grad
1,0.5794569849967957,0.05,grad
2,324.4507751464844,0.05,grad
3,116.49048614501953,0.05,grad
4,0.35373884439468384,0.05,grad
5,0.7890224456787109,0.05,grad
6,6.610018253326416,0.05,grad
7,36.1058349609375,0.05,grad
8,1.497393250465393,0.05,grad
9,0.28323251008987427,0.05,grad
10,0.37443727254867554,0.05,grad
11,126.95270538330078,0.05,grad
12,0.33336833119392395,0.05,grad
13,159.3291015625,0.05,grad
14,1.9889934062957764,0.05,grad
15,5.745953559875488,0.05,grad
16,101.9724349975586,0.05,grad
17,0.6127943992614746,0.05,grad
18,1.1206480264663696,0.05,grad
19,0.8901298642158508,0.05,grad
20,13.695869445800781,0.05,grad
21,1.066294550895691,0.05,grad
22,17.915952682495117,0.05,grad
23,4.394827365875244,0.05,grad
24,1.9370496273040771,0.05,grad
25,188.39430236816406,0.05,grad
26,162.9300079345703,0.05,grad
27,0.49128228425979614,0.05,grad
28,0.12025291472673416,0.05,grad
29,1.0077240467071533,0.05,grad
30,12.085273335591902,0.05,ig
31,41.40479847232188,0.05,ig
32,203.62011612143584,0.05,ig
33,54.47743707467621,0.05,ig
34,805.9545430210992,0.05,ig
35,61113.1825706564,0.05,ig
36,1375.4239624787967,0.05,ig
37,105.7747228254008,0.05,ig
38,8963.571226469317,0.05,ig
39,86177050.67836705,0.05,ig
40,439202.0322679137,0.05,ig
41,51.473157224307606,0.05,ig
42,1925.8593823278577,0.05,ig
43,105.83343185618627,0.05,ig
44,66.03845492047695,0.05,ig
45,167.45769990689215,0.05,ig
46,1089.374453381032,0.05,ig
47,6083.874040431207,0.05,ig
48,833.8023284319938,0.05,ig
49,679912.595722257,0.05,ig
50,391.2736549851853,0.05,ig
51,73.59640624450986,0.05,ig
52,434.1785389525733,0.05,ig
53,1450.10585671067,0.05,ig
54,5.615969279132162,0.05,ig
55,61.797745114529675,0.05,ig
56,30.565720261395814,0.05,ig
57,7507.03302076962,0.05,ig
58,96505799.03691126,0.05,ig
59,11.112904038154424,0.05,ig
60,4.111173629760742,0.05,itg
61,1.765406847000122,0.05,itg
62,261.1148376464844,0.05,itg
63,44.30347442626953,0.05,itg
64,1.1483447551727295,0.05,itg
65,0.3072759509086609,0.05,itg
66,0.214983731508255,0.05,itg
67,751.8734741210938,0.05,itg
68,0.47991400957107544,0.05,itg
69,0.3115844428539276,0.05,itg
70,0.3177873194217682,0.05,itg
71,17.026378631591797,0.05,itg
72,6.251084804534912,0.05,itg
73,11.8839750289917,0.05,itg
74,1.239108681678772,0.05,itg
75,1.5708017349243164,0.05,itg
76,233.19461059570312,0.05,itg
77,0.335758775472641,0.05,itg
78,0.08187921345233917,0.05,itg
79,0.11541933566331863,0.05,itg
80,0.15457937121391296,0.05,itg
81,0.4888717234134674,0.05,itg
82,1.7536745071411133,0.05,itg
83,0.2700255215167999,0.05,itg
84,0.6649779677391052,0.05,itg
85,19.669458389282227,0.05,itg
86,9.518864631652832,0.05,itg
87,1.049169659614563,0.05,itg
88,0.059961482882499695,0.05,itg
89,5.453251361846924,0.05,itg
90,2.701740264892578,0.05,sg
91,14.712855339050293,0.05,sg
92,33.573936462402344,0.05,sg
93,6.16192102432251,0.05,sg
94,57.59573745727539,0.05,sg
95,1194.8319091796875,0.05,sg
96,1133.379150390625,0.05,sg
97,3.293649673461914,0.05,sg
98,2601.109619140625,0.05,sg
99,1052575.75,0.05,sg
100,54555.91015625,0.05,sg
101,703.0906982421875,0.05,sg
102,20.593095779418945,0.05,sg
103,13.593216896057129,0.05,sg
104,2.7388370037078857,0.05,sg
105,119.02457427978516,0.05,sg
106,7.262626647949219,0.05,sg
107,4604.3076171875,0.05,sg
108,8630.9716796875,0.05,sg
109,304.52239990234375,0.05,sg
110,9.618172645568848,0.05,sg
111,12.832368850708008,0.05,sg
112,4.666264057159424,0.05,sg
113,57.92497253417969,0.05,sg
114,19.993011474609375,0.05,sg
115,28.657533645629883,0.05,sg
116,4.331048011779785,0.05,sg
117,205.28858947753906,0.05,sg
118,55062876.0,0.05,sg
119,22.144506454467773,0.05,sg
120,27.385095596313477,0.05,lrp
121,0.5257976651191711,0.05,lrp
122,15.191489219665527,0.05,lrp
123,2955.389892578125,0.05,lrp
124,0.1326528787612915,0.05,lrp
125,0.0855410248041153,0.05,lrp
126,1.1116667985916138,0.05,lrp
127,5.420960426330566,0.05,lrp
128,0.07541516423225403,0.05,lrp
129,0.060753367841243744,0.05,lrp
130,0.032647937536239624,0.05,lrp
131,70.9931869506836,0.05,lrp
132,0.08578094094991684,0.05,lrp
133,33.77259063720703,0.05,lrp
134,0.02291652373969555,0.05,lrp
135,0.045410122722387314,0.05,lrp
136,154.51223754882812,0.05,lrp
137,0.17222967743873596,0.05,lrp
138,0.31948748230934143,0.05,lrp
139,0.23292814195156097,0.05,lrp
140,0.19429410994052887,0.05,lrp
141,0.008374619297683239,0.05,lrp
142,0.776875913143158,0.05,lrp
143,0.95746248960495,0.05,lrp
144,1.8438762426376343,0.05,lrp
145,3.7123098373413086,0.05,lrp
146,0.9990994930267334,0.05,lrp
147,0.016975531354546547,0.05,lrp
148,0.003138922154903412,0.05,lrp
149,1.0684711933135986,0.05,lrp
150,13.088532447814941,0.05,shap
151,17.202974319458008,0.05,shap
152,4.620460033416748,0.05,shap
153,77.91913604736328,0.05,shap
154,422.0837097167969,0.05,shap
155,156.58229064941406,0.05,shap
156,77.5912857055664,0.05,shap
157,11.352141380310059,0.05,shap
158,149.75619506835938,0.05,shap
