,Stability,Std_Deviation,Method
0,6.7255880094300995,0.05,grad
1,6.7741084276766,0.05,grad
2,6.819376214752593,0.05,grad
3,7.9572698010901055,0.05,grad
4,4.936243003673688,0.05,grad
5,4.182328632416094,0.05,grad
6,7.556840719465408,0.05,grad
7,6.678776105789753,0.05,grad
8,5.320278931365543,0.05,grad
9,9.01430551166581,0.05,grad
10,5.914906160203116,0.05,grad
11,7.420579799094017,0.05,grad
12,5.2698082007219025,0.05,grad
13,8.901970252227523,0.05,grad
14,5.605301024204653,0.05,grad
15,6.680656922651905,0.05,grad
16,13.796317716508144,0.05,grad
17,5.120852310973091,0.05,grad
18,6.261203043656142,0.05,grad
19,6.790898865141322,0.05,grad
20,4.247409631992806,0.05,grad
21,9.85350097908035,0.05,grad
22,5.03871594545943,0.05,grad
23,8.694902135903124,0.05,grad
24,7.925708348153844,0.05,grad
25,9.228278550688524,0.05,grad
26,11.03535294542427,0.05,grad
27,6.440673485795927,0.05,grad
28,6.628646684101172,0.05,grad
29,7.15300803697498,0.05,grad
30,2.6778183715796513,0.05,ig
31,5.506395627945383,0.05,ig
32,2.68163504719493,0.05,ig
33,2.673903364210118,0.05,ig
34,2.3627625527746696,0.05,ig
35,4.779461792433582,0.05,ig
36,4.733849343074273,0.05,ig
37,7.480467113620588,0.05,ig
38,7.220138216909917,0.05,ig
39,5.683728261310516,0.05,ig
40,4.027427346766481,0.05,ig
41,3.7406522997959732,0.05,ig
42,3.942005908309075,0.05,ig
43,6.117039070660825,0.05,ig
44,5.341822215390911,0.05,ig
45,3.0033630778639413,0.05,ig
46,6.809114967743175,0.05,ig
47,2.581312705657001,0.05,ig
48,2.7086232226226405,0.05,ig
49,4.587927071699476,0.05,ig
50,4.214523958334269,0.05,ig
51,9.223149317177736,0.05,ig
52,3.676034051657051,0.05,ig
53,5.173744794847199,0.05,ig
54,3.9336014163870012,0.05,ig
55,7.9118451124835625,0.05,ig
56,7.887970879588209,0.05,ig
57,5.2795304136586,0.05,ig
58,2.1013535662338496,0.05,ig
59,2.5656444197609787,0.05,ig
60,2.8120706310250294,0.05,itg
