,Stability,Std_Deviation,Method
0,66550.09375,0.05,grad
1,21655.88671875,0.05,grad
2,438.12579345703125,0.05,grad
3,9565.853515625,0.05,grad
4,1122.2264404296875,0.05,grad
5,20112.306640625,0.05,grad
6,19035.095703125,0.05,grad
7,82296.640625,0.05,grad
8,5191.85595703125,0.05,grad
9,8316.8798828125,0.05,grad
10,22371.224609375,0.05,grad
11,62780.29296875,0.05,grad
12,6911.6376953125,0.05,grad
13,1931.5721435546875,0.05,grad
14,5275.11767578125,0.05,grad
15,19173.919921875,0.05,grad
16,865.7568969726562,0.05,grad
17,3044722.75,0.05,grad
18,14219.7919921875,0.05,grad
19,106372.765625,0.05,grad
20,337.4765930175781,0.05,grad
21,474.6378479003906,0.05,grad
22,10843.7041015625,0.05,grad
23,29606.07421875,0.05,grad
24,29957.861328125,0.05,grad
25,191.0660858154297,0.05,grad
26,188908.03125,0.05,grad
27,1938.611328125,0.05,grad
28,36159.37890625,0.05,grad
29,111984.9375,0.05,grad
30,185499.390625,0.05,grad
31,1545891.875,0.05,grad
32,37871.21484375,0.05,grad
33,26060.359375,0.05,grad
34,53810.60546875,0.05,grad
35,24757.479255124323,0.05,ig
36,10700.089714131162,0.05,ig
37,1174.0426380508036,0.05,ig
38,3085.050197588413,0.05,ig
39,1652.6590042775372,0.05,ig
40,1782.7278442945387,0.05,ig
41,5074.833372880695,0.05,ig
42,34458.85617984061,0.05,ig
43,5251.349974083263,0.05,ig
44,5955.925272867086,0.05,ig
45,15518.260540407657,0.05,ig
46,19037.904405221194,0.05,ig
47,2266.577159129025,0.05,ig
48,1857.645526404297,0.05,ig
49,5021.1289363146225,0.05,ig
50,3077.4751631547488,0.05,ig
51,9794.719074002633,0.05,ig
52,11885.712007106265,0.05,ig
53,4131.619035171072,0.05,ig
54,458288.7086575061,0.05,ig
55,1155.988297317871,0.05,ig
56,1883.8420639467208,0.05,ig
57,2157.574781543689,0.05,ig
58,78705.32411404225,0.05,ig
59,12177.803728318488,0.05,ig
60,5924.279163588933,0.05,ig
61,122606.55845453545,0.05,ig
62,1339.379549799715,0.05,ig
63,9797.050264091824,0.05,ig
64,9176.493815538886,0.05,ig
65,10749.334021578808,0.05,ig
66,386114.8585427113,0.05,ig
67,2710.1518018492584,0.05,ig
68,4239.637245798134,0.05,ig
69,7768.051887624189,0.05,ig
70,9627.3642578125,0.05,itg
71,4651.02490234375,0.05,itg
72,789.544677734375,0.05,itg
73,5781.6044921875,0.05,itg
74,15137.568359375,0.05,itg
75,3893.2978515625,0.05,itg
76,2707.135009765625,0.05,itg
77,11274.1123046875,0.05,itg
78,447.09698486328125,0.05,itg
79,10033.6845703125,0.05,itg
80,10320.71484375,0.05,itg
81,6443.34765625,0.05,itg
82,1820.9705810546875,0.05,itg
83,5490.97509765625,0.05,itg
84,996.3389282226562,0.05,itg
85,39691.79296875,0.05,itg
86,574.5218505859375,0.05,itg
87,2560.719970703125,0.05,itg
88,17.318172454833984,0.05,itg
89,24186.4765625,0.05,itg
90,169.57357788085938,0.05,itg
91,207.3927001953125,0.05,itg
92,4367.3642578125,0.05,itg
93,8970.0283203125,0.05,itg
94,6667.89013671875,0.05,itg
95,15.189957618713379,0.05,itg
96,1584.6123046875,0.05,itg
97,360.9665832519531,0.05,itg
98,3078.579833984375,0.05,itg
99,865.9194946289062,0.05,itg
100,8791.4072265625,0.05,itg
101,13127.0966796875,0.05,itg
102,849.2718505859375,0.05,itg
103,29707.5390625,0.05,itg
104,2605.83154296875,0.05,itg
105,60.86300277709961,0.05,sg005
106,39.63101577758789,0.05,sg005
107,288.3622131347656,0.05,sg005
108,768.9992065429688,0.05,sg005
109,34.4683837890625,0.05,sg005
110,7.263453960418701,0.05,sg005
111,12.183269500732422,0.05,sg005
112,21.758745193481445,0.05,sg005
113,3.7429981231689453,0.05,sg005
114,14.45263957977295,0.05,sg005
115,17.80752182006836,0.05,sg005
116,25.515432357788086,0.05,sg005
117,5.217968940734863,0.05,sg005
118,32.5150146484375,0.05,sg005
119,36.601036071777344,0.05,sg005
120,7.247716426849365,0.05,sg005
121,5.283720970153809,0.05,sg005
122,7.0484724044799805,0.05,sg005
123,79.35792541503906,0.05,sg005
124,66.82014465332031,0.05,sg005
125,7.56019926071167,0.05,sg005
126,307.3223876953125,0.05,sg005
127,15.97730541229248,0.05,sg005
128,7.083484649658203,0.05,sg005
129,24.089780807495117,0.05,sg005
130,16.680980682373047,0.05,sg005
131,50.229312896728516,0.05,sg005
132,29.710285186767578,0.05,sg005
133,729.8517456054688,0.05,sg005
134,10.093100547790527,0.05,sg005
135,90.08192443847656,0.05,sg005
136,29.36249542236328,0.05,sg005
137,22.911718368530273,0.05,sg005
138,21.208389282226562,0.05,sg005
139,48.2204704284668,0.05,sg005
140,62440.08984375,0.05,shap
141,3399.555908203125,0.05,shap
142,6187.90234375,0.05,shap
143,5886.111328125,0.05,shap
144,38049.30859375,0.05,shap
145,22769.44140625,0.05,shap
146,2023.502197265625,0.05,shap
147,222144.546875,0.05,shap
148,18392.716796875,0.05,shap
149,5057.5009765625,0.05,shap
150,28214.88671875,0.05,shap
151,6442.0634765625,0.05,shap
152,10744.6142578125,0.05,shap
153,2806.374755859375,0.05,shap
154,133530.4375,0.05,shap
155,2785.998291015625,0.05,shap
156,795.2244873046875,0.05,shap
157,24996.0546875,0.05,shap
158,59392.83203125,0.05,shap
159,169741.859375,0.05,shap
160,1348.8367919921875,0.05,shap
161,16554.1484375,0.05,shap
