,Faithfulness,Std_Deviation,Method
0,0.24087226,0.05,grad
1,0.015706073,0.05,grad
2,0.024161015,0.05,grad
3,0.34276497,0.05,grad
4,0.21532111,0.05,grad
5,0.23816626,0.05,grad
6,0.010994158,0.05,grad
7,0.012450449,0.05,grad
8,0.11700185,0.05,grad
9,0.10335683,0.05,grad
10,0.10538535,0.05,grad
11,0.19339474,0.05,grad
12,0.24013759,0.05,grad
13,0.27347854,0.05,grad
14,0.2952672,0.05,grad
15,0.21646008,0.05,grad
16,0.19739738,0.05,grad
17,0.009234805,0.05,grad
18,0.0735692,0.05,grad
19,0.10845485,0.05,grad
20,0.0052410443,0.05,grad
21,0.25120702,0.05,grad
22,0.12904558,0.05,grad
23,0.035098787,0.05,grad
24,0.2800102,0.05,grad
25,0.25268456,0.05,grad
26,0.037095424,0.05,grad
27,0.074676074,0.05,grad
28,0.032948956,0.05,grad
29,0.23005533,0.05,grad
30,0.2016584,0.05,grad
31,0.2567959,0.05,grad
32,0.236226,0.05,grad
33,0.2987457,0.05,grad
34,0.11409624,0.05,grad
35,0.2727011,0.05,ig
36,0.019526115,0.05,ig
37,0.02295686,0.05,ig
38,0.32980126,0.05,ig
39,0.21236105,0.05,ig
40,0.14683063,0.05,ig
41,0.008549692,0.05,ig
42,0.008344588,0.05,ig
43,0.11594877,0.05,ig
44,0.10812351,0.05,ig
45,0.09481525,0.05,ig
46,0.10872566,0.05,ig
47,0.22192943,0.05,ig
48,0.26868013,0.05,ig
49,0.2926875,0.05,ig
50,0.18712014,0.05,ig
51,0.2229704,0.05,ig
52,0.008883855,0.05,ig
53,0.05814059,0.05,ig
54,0.096316144,0.05,ig
55,0.010225151,0.05,ig
56,0.2537276,0.05,ig
57,0.08973749,0.05,ig
58,0.041651625,0.05,ig
59,0.3297218,0.05,ig
60,0.28070924,0.05,ig
61,0.04185426,0.05,ig
62,0.032907177,0.05,ig
63,0.03419285,0.05,ig
64,0.29556817,0.05,ig
65,0.20981681,0.05,ig
66,0.21809787,0.05,ig
67,0.29862756,0.05,ig
68,0.31677,0.05,ig
69,0.1119055,0.05,ig
70,0.36988223,0.05,itg
71,0.01682466,0.05,itg
72,0.023863211,0.05,itg
73,0.33745217,0.05,itg
74,0.20843084,0.05,itg
75,0.33057463,0.05,itg
76,0.009336268,0.05,itg
77,0.010067124,0.05,itg
78,0.11505522,0.05,itg
79,0.11095416,0.05,itg
80,0.084159344,0.05,itg
81,0.14830297,0.05,itg
82,0.22254866,0.05,itg
83,0.29719815,0.05,itg
84,0.27063996,0.05,itg
85,0.18990585,0.05,itg
86,0.23285216,0.05,itg
87,0.011708858,0.05,itg
88,0.06952295,0.05,itg
89,0.09670301,0.05,itg
90,0.0074951295,0.05,itg
91,0.214377,0.05,itg
92,0.1079467,0.05,itg
93,0.051874075,0.05,itg
94,0.24594955,0.05,itg
95,0.29145128,0.05,itg
96,0.043588594,0.05,itg
97,0.070318095,0.05,itg
98,0.035389274,0.05,itg
99,0.34224567,0.05,itg
100,0.20313951,0.05,itg
101,0.3207769,0.05,itg
102,0.27446803,0.05,itg
103,0.32834518,0.05,itg
104,0.10813757,0.05,itg
105,0.25970694,0.05,sg003
106,0.016244132,0.05,sg003
107,0.02437001,0.05,sg003
108,0.34782806,0.05,sg003
109,0.2704614,0.05,sg003
110,0.21194631,0.05,sg003
111,0.012356744,0.05,sg003
112,0.011338591,0.05,sg003
113,0.14311798,0.05,sg003
114,0.09766472,0.05,sg003
115,0.09621466,0.05,sg003
116,0.060606524,0.05,sg003
117,0.21922447,0.05,sg003
118,0.33174706,0.05,sg003
119,0.20049483,0.05,sg003
120,0.2245157,0.05,sg003
121,0.2333013,0.05,sg003
122,0.0055825384,0.05,sg003
123,0.068247266,0.05,sg003
124,0.10065898,0.05,sg003
125,0.0056931423,0.05,sg003
126,0.23891374,0.05,sg003
127,0.11899315,0.05,sg003
128,0.04785711,0.05,sg003
129,0.30834186,0.05,sg003
130,0.3085142,0.05,sg003
131,0.05766047,0.05,sg003
132,0.06792192,0.05,sg003
133,0.05196931,0.05,sg003
134,0.269076,0.05,sg003
135,0.2956646,0.05,sg003
136,0.32266456,0.05,sg003
137,0.25837386,0.05,sg003
138,0.32391658,0.05,sg003
139,0.20477885,0.05,sg003
140,0.26811126,0.05,sg005
141,0.01377922,0.05,sg005
142,0.021604583,0.05,sg005
143,0.33010373,0.05,sg005
144,0.18917145,0.05,sg005
145,0.26804844,0.05,sg005
146,0.012792684,0.05,sg005
147,0.009343827,0.05,sg005
148,0.12428036,0.05,sg005
149,0.10432272,0.05,sg005
150,0.09190451,0.05,sg005
151,0.08377114,0.05,sg005
152,0.22441503,0.05,sg005
153,0.28822044,0.05,sg005
154,0.22918676,0.05,sg005
155,0.21052651,0.05,sg005
156,0.2183712,0.05,sg005
157,0.008085473,0.05,sg005
158,0.056674127,0.05,sg005
159,0.13157238,0.05,sg005
160,0.0048588496,0.05,sg005
161,0.24533802,0.05,sg005
162,0.11811469,0.05,sg005
163,0.06433095,0.05,sg005
164,0.31029847,0.05,sg005
165,0.2865355,0.05,sg005
