,Stability,Std_Deviation,Method
0,97456.4453125,0.05,grad
1,118249.203125,0.05,grad
2,2282.652587890625,0.05,grad
3,21608.373046875,0.05,grad
4,3495.551513671875,0.05,grad
5,2190.105712890625,0.05,grad
6,7464.7568359375,0.05,grad
7,128375.28125,0.05,grad
8,2783.43115234375,0.05,grad
9,10753.96875,0.05,grad
10,459522.5,0.05,grad
11,11814.7958984375,0.05,grad
12,20239.728515625,0.05,grad
13,7807.50634765625,0.05,grad
14,6886.01171875,0.05,grad
15,18015.978515625,0.05,grad
16,154156.109375,0.05,grad
17,2504.36181640625,0.05,grad
18,88.56507873535156,0.05,grad
19,110951.6484375,0.05,grad
20,563.1636962890625,0.05,grad
21,241.66445922851562,0.05,grad
22,117625.1796875,0.05,grad
23,62226.9140625,0.05,grad
24,40112.71875,0.05,grad
25,491.50933837890625,0.05,grad
26,33986.93359375,0.05,grad
27,1606.9854736328125,0.05,grad
28,489199.375,0.05,grad
29,9096.052734375,0.05,grad
30,35310.95703125,0.05,grad
31,217247.28125,0.05,grad
32,121527.3828125,0.05,grad
33,9993.02734375,0.05,grad
34,22085.7578125,0.05,grad
35,15447.655647544336,0.05,ig
36,3249.969734858998,0.05,ig
37,3099.8469253693524,0.05,ig
38,65248.75366961122,0.05,ig
39,31179.01455301568,0.05,ig
40,19716.561440123885,0.05,ig
41,3254.5522062798555,0.05,ig
42,2822.978731672856,0.05,ig
43,16179.509156142052,0.05,ig
44,6617.846060045919,0.05,ig
45,41708.24010078866,0.05,ig
46,3013.5390220717786,0.05,ig
47,2562.2544412138623,0.05,ig
48,3891.8270039235754,0.05,ig
49,10670.321267839947,0.05,ig
50,3203.523832789651,0.05,ig
51,39589.144595199374,0.05,ig
52,1510.0047995869095,0.05,ig
53,960.362908864345,0.05,ig
54,66317.5976006921,0.05,ig
55,97111.64965548235,0.05,ig
56,2118.772380120444,0.05,ig
57,4088.0520431643204,0.05,ig
58,6344996.999803015,0.05,ig
59,10346.689529574116,0.05,ig
60,1197.0992155779336,0.05,ig
61,10104.706099177898,0.05,ig
62,1433.1967215271916,0.05,ig
63,16985.983399782504,0.05,ig
64,79256.58340041415,0.05,ig
65,66099.39877926842,0.05,ig
66,39357.299572011376,0.05,ig
67,36400.28378396883,0.05,ig
68,22681.955892273167,0.05,ig
69,10186.762580595016,0.05,ig
70,4297.35302734375,0.05,itg
71,14850.8095703125,0.05,itg
72,369.8042297363281,0.05,itg
73,4187.91259765625,0.05,itg
74,17848.4765625,0.05,itg
75,234.23385620117188,0.05,itg
76,3477.78662109375,0.05,itg
77,21919.41796875,0.05,itg
78,300.3514099121094,0.05,itg
79,6429.373046875,0.05,itg
80,6384.501953125,0.05,itg
