,Stability,Std_Deviation,Method
0,49.52334976196289,0.05,grad
1,714.44580078125,0.05,grad
2,162.2213134765625,0.05,grad
3,1210.5565185546875,0.05,grad
4,368.0371398925781,0.05,grad
5,128.11537170410156,0.05,grad
6,1156.5064697265625,0.05,grad
7,711.0834350585938,0.05,grad
8,262.425048828125,0.05,grad
9,1551.2327880859375,0.05,grad
10,1434.8873291015625,0.05,grad
11,774.5477905273438,0.05,grad
12,419.681884765625,0.05,grad
13,221.77349853515625,0.05,grad
14,1169.0189208984375,0.05,grad
15,107.74722290039062,0.05,grad
16,1542.800537109375,0.05,grad
17,1579.8232421875,0.05,grad
18,1176.207763671875,0.05,grad
19,128.15731811523438,0.05,grad
20,107.91753387451172,0.05,grad
21,46.090354919433594,0.05,grad
22,151.46107482910156,0.05,grad
23,983.0616455078125,0.05,grad
24,1131.6025390625,0.05,grad
25,1407.3167724609375,0.05,grad
26,253.53282165527344,0.05,grad
27,1477.162841796875,0.05,grad
28,703.4472045898438,0.05,grad
29,1419.4329833984375,0.05,grad
30,397.1499328613281,0.05,grad
31,657.719970703125,0.05,grad
32,311.9654541015625,0.05,grad
33,264.00616455078125,0.05,grad
34,881.96923828125,0.05,grad
35,146.12433889519863,0.05,ig
36,497.3518205512794,0.05,ig
37,268.6009585940434,0.05,ig
38,255.20201472076195,0.05,ig
39,375.14269532230867,0.05,ig
40,229.06910276698227,0.05,ig
41,739.3905391452732,0.05,ig
42,497.4046615721225,0.05,ig
43,295.6805816192666,0.05,ig
44,927.5392961343061,0.05,ig
45,822.7007357544005,0.05,ig
46,572.9673952785078,0.05,ig
47,422.5502403237627,0.05,ig
48,308.5870127489396,0.05,ig
49,270.4260544377621,0.05,ig
50,207.01048233128662,0.05,ig
51,912.1543841645534,0.05,ig
52,821.3476835262177,0.05,ig
53,263.5491316158408,0.05,ig
54,228.1976418154791,0.05,ig
55,216.71245712345686,0.05,ig
56,152.248831476234,0.05,ig
57,237.1106248435553,0.05,ig
58,620.2451887940844,0.05,ig
59,285.56964647755245,0.05,ig
60,849.0765699988042,0.05,ig
61,329.0978927219764,0.05,ig
62,807.081564071532,0.05,ig
63,531.1119126682524,0.05,ig
64,836.2453833346109,0.05,ig
65,422.63064005916874,0.05,ig
66,533.5099448915939,0.05,ig
67,323.66494450980525,0.05,ig
68,408.1887718739538,0.05,ig
69,572.4285064802174,0.05,ig
70,7879.0625,0.05,itg
71,22385.87890625,0.05,itg
72,875.662353515625,0.05,itg
73,17056.06640625,0.05,itg
74,1386.796875,0.05,itg
75,374.4020690917969,0.05,itg
76,3859.9189453125,0.05,itg
77,4443.69873046875,0.05,itg
78,85166.34375,0.05,itg
79,12417.64453125,0.05,itg
80,15988.8876953125,0.05,itg
81,11854.4599609375,0.05,itg
