,Faithfulness,Std_Deviation,Method
0,0.01979716,0.05,grad
1,0.06395218,0.05,grad
2,0.2708567,0.05,grad
3,0.14171314,0.05,grad
4,0.10847487,0.05,grad
5,0.026740259,0.05,grad
6,0.2734183,0.05,grad
7,0.13867725,0.05,grad
8,0.11745902,0.05,grad
9,0.06723917,0.05,grad
10,0.11497245,0.05,grad
11,0.26492056,0.05,grad
12,0.20983765,0.05,grad
13,0.18290688,0.05,grad
14,0.016068561,0.05,grad
15,0.28069025,0.05,grad
16,0.21969584,0.05,grad
17,0.026873045,0.05,grad
18,0.095778815,0.05,grad
19,0.28126234,0.05,grad
20,0.119071454,0.05,grad
21,0.12992242,0.05,grad
22,0.2628997,0.05,grad
23,0.19802706,0.05,grad
24,0.098421976,0.05,grad
25,0.042127986,0.05,grad
26,0.1435191,0.05,grad
27,0.1863596,0.05,grad
28,0.26127118,0.05,grad
29,0.24886398,0.05,grad
30,0.22496556,0.05,grad
31,0.21922363,0.05,grad
32,0.12902063,0.05,grad
33,0.023939194,0.05,grad
34,0.09661695,0.05,grad
35,0.014747348,0.05,ig
36,0.061010078,0.05,ig
37,0.26239052,0.05,ig
38,0.111757845,0.05,ig
39,0.087624714,0.05,ig
40,0.028431425,0.05,ig
41,0.25515473,0.05,ig
42,0.12096916,0.05,ig
43,0.11445621,0.05,ig
44,0.05754377,0.05,ig
45,0.13510342,0.05,ig
46,0.26005793,0.05,ig
47,0.1819421,0.05,ig
48,0.19174746,0.05,ig
49,0.011898863,0.05,ig
50,0.27725846,0.05,ig
51,0.20334296,0.05,ig
52,0.03864037,0.05,ig
53,0.07838915,0.05,ig
54,0.2791505,0.05,ig
55,0.11684053,0.05,ig
56,0.101888955,0.05,ig
57,0.2452247,0.05,ig
58,0.24285282,0.05,ig
59,0.08513258,0.05,ig
60,0.043926097,0.05,ig
61,0.13314578,0.05,ig
62,0.188384,0.05,ig
63,0.25526717,0.05,ig
64,0.23778924,0.05,ig
65,0.24175656,0.05,ig
66,0.2561065,0.05,ig
67,0.14213611,0.05,ig
68,0.014725371,0.05,ig
69,0.10763774,0.05,ig
70,0.016312225,0.05,itg
71,0.065560825,0.05,itg
72,0.25649962,0.05,itg
73,0.0853465,0.05,itg
74,0.10161965,0.05,itg
75,0.03689229,0.05,itg
76,0.27124068,0.05,itg
77,0.1635078,0.05,itg
78,0.1373657,0.05,itg
79,0.04507651,0.05,itg
80,0.14913885,0.05,itg
81,0.25985557,0.05,itg
82,0.20578323,0.05,itg
83,0.19945258,0.05,itg
84,0.014319807,0.05,itg
85,0.2744928,0.05,itg
86,0.21325147,0.05,itg
87,0.03212016,0.05,itg
88,0.09993982,0.05,itg
89,0.2788982,0.05,itg
90,0.120426506,0.05,itg
91,0.16173677,0.05,itg
92,0.24898122,0.05,itg
93,0.23948883,0.05,itg
94,0.10749493,0.05,itg
95,0.036525186,0.05,itg
96,0.1460551,0.05,itg
97,0.2144891,0.05,itg
98,0.26258639,0.05,itg
99,0.2538755,0.05,itg
100,0.22823863,0.05,itg
101,0.328717,0.05,itg
102,0.12020373,0.05,itg
103,0.01830499,0.05,itg
104,0.12223791,0.05,itg
105,0.021423178,0.05,sg003
106,0.07670823,0.05,sg003
107,0.24206074,0.05,sg003
108,0.09619777,0.05,sg003
109,0.104626894,0.05,sg003
110,0.016934661,0.05,sg003
111,0.26885968,0.05,sg003
112,0.13083774,0.05,sg003
113,0.1353055,0.05,sg003
114,0.06131484,0.05,sg003
115,0.15974362,0.05,sg003
116,0.23451644,0.05,sg003
117,0.20446348,0.05,sg003
118,0.19832882,0.05,sg003
119,0.011870607,0.05,sg003
120,0.22516578,0.05,sg003
121,0.15801099,0.05,sg003
122,0.029172637,0.05,sg003
123,0.09544111,0.05,sg003
124,0.254555,0.05,sg003
125,0.10184205,0.05,sg003
126,0.14310957,0.05,sg003
127,0.26646066,0.05,sg003
128,0.23146187,0.05,sg003
129,0.08456364,0.05,sg003
130,0.034703102,0.05,sg003
131,0.16314733,0.05,sg003
132,0.17385359,0.05,sg003
133,0.22028022,0.05,sg003
134,0.22690004,0.05,sg003
135,0.23568937,0.05,sg003
136,0.25878978,0.05,sg003
137,0.16027084,0.05,sg003
138,0.017921418,0.05,sg003
139,0.11324804,0.05,sg003
140,0.01793954,0.05,sg005
141,0.05899662,0.05,sg005
142,0.25889146,0.05,sg005
143,0.116531715,0.05,sg005
144,0.14908811,0.05,sg005
145,0.026628163,0.05,sg005
146,0.2517184,0.05,sg005
147,0.15150625,0.05,sg005
148,0.15002772,0.05,sg005
149,0.061154503,0.05,sg005
150,0.17886871,0.05,sg005
151,0.24493772,0.05,sg005
152,0.19525868,0.05,sg005
153,0.20120642,0.05,sg005
154,0.025888862,0.05,sg005
155,0.24484366,0.05,sg005
156,0.21979797,0.05,sg005
157,0.031308547,0.05,sg005
158,0.09435792,0.05,sg005
159,0.23266,0.05,sg005
160,0.07548623,0.05,sg005
161,0.16194656,0.05,sg005
162,0.25060046,0.05,sg005
163,0.22408433,0.05,sg005
164,0.08086507,0.05,sg005
165,0.035993103,0.05,sg005
166,0.18500525,0.05,sg005
167,0.17383812,0.05,sg005
168,0.24546844,0.05,sg005
169,0.24336277,0.05,sg005
170,0.23271869,0.05,sg005
171,0.26286298,0.05,sg005
172,0.13434686,0.05,sg005
173,0.021444915,0.05,sg005
174,0.10184093,0.05,sg005
175,0.020297399,0.05,sg010
176,0.06693366,0.05,sg010
177,0.26620004,0.05,sg010
178,0.13719717,0.05,sg010
179,0.14500535,0.05,sg010
180,0.030371172,0.05,sg010
181,0.26360968,0.05,sg010
182,0.1671731,0.05,sg010
183,0.12507693,0.05,sg010
184,0.04964381,0.05,sg010
185,0.17456655,0.05,sg010
186,0.2554648,0.05,sg010
187,0.17545514,0.05,sg010
188,0.19686216,0.05,sg010
189,0.010428293,0.05,sg010
190,0.27691785,0.05,sg010
191,0.18253197,0.05,sg010
192,0.021250019,0.05,sg010
193,0.096777394,0.05,sg010
194,0.25461188,0.05,sg010
195,0.09779657,0.05,sg010
196,0.13861722,0.05,sg010
197,0.2571382,0.05,sg010
198,0.20996544,0.05,sg010
199,0.0966306,0.05,sg010
200,0.026155327,0.05,sg010
201,0.1722123,0.05,sg010
202,0.19502018,0.05,sg010
203,0.23602171,0.05,sg010
204,0.2822379,0.05,sg010
205,0.24177536,0.05,sg010
206,0.23879957,0.05,sg010
207,0.1132961,0.05,sg010
208,0.014865556,0.05,sg010
209,0.094387025,0.05,sg010
210,0.04616582,0.05,lrp
211,0.057760023,0.05,lrp
212,0.26137832,0.05,lrp
213,0.100996904,0.05,lrp
214,0.12920868,0.05,lrp
215,0.032237545,0.05,lrp
216,0.26446834,0.05,lrp
217,0.119471304,0.05,lrp
218,0.13181503,0.05,lrp
219,0.054832965,0.05,lrp
220,0.21584576,0.05,lrp
221,0.27003184,0.05,lrp
222,0.17856324,0.05,lrp
223,0.29807508,0.05,lrp
224,0.014604389,0.05,lrp
225,0.26689976,0.05,lrp
226,0.22325149,0.05,lrp
227,0.06392902,0.05,lrp
228,0.16827331,0.05,lrp
229,0.26650384,0.05,lrp
230,0.16825908,0.05,lrp
231,0.20035289,0.05,lrp
232,0.24576634,0.05,lrp
233,0.26868245,0.05,lrp
234,0.10489805,0.05,lrp
235,0.03128632,0.05,lrp
236,0.22753987,0.05,lrp
237,0.1526822,0.05,lrp
238,0.2520261,0.05,lrp
239,0.24880312,0.05,lrp
240,0.2743735,0.05,lrp
241,0.23457801,0.05,lrp
242,0.1862126,0.05,lrp
243,0.018006459,0.05,lrp
244,0.11147168,0.05,lrp
245,0.019155871,0.05,shap
246,0.07048611,0.05,shap
247,0.24912384,0.05,shap
248,0.10826108,0.05,shap
249,0.1303133,0.05,shap
250,0.022458486,0.05,shap
251,0.2647274,0.05,shap
252,0.18977551,0.05,shap
253,0.12490261,0.05,shap
254,0.06655837,0.05,shap
255,0.12612699,0.05,shap
256,0.26009032,0.05,shap
257,0.18194355,0.05,shap
258,0.18763931,0.05,shap
259,0.020021915,0.05,shap
260,0.25498378,0.05,shap
261,0.1660332,0.05,shap
262,0.03423693,0.05,shap
263,0.08402328,0.05,shap
264,0.24558035,0.05,shap
265,0.10694215,0.05,shap
266,0.123354465,0.05,shap
267,0.27410927,0.05,shap
268,0.22209312,0.05,shap
269,0.10373402,0.05,shap
270,0.043781415,0.05,shap
271,0.14685288,0.05,shap
272,0.20197544,0.05,shap
273,0.25020817,0.05,shap
274,0.23385789,0.05,shap
275,0.23714373,0.05,shap
276,0.25912926,0.05,shap
277,0.11127829,0.05,shap
278,0.019443644,0.05,shap
279,0.084382445,0.05,shap
280,0.016234703,0.05,lime003
281,0.046109147,0.05,lime003
282,0.2333842,0.05,lime003
283,0.09489411,0.05,lime003
284,0.078414746,0.05,lime003
285,0.026847191,0.05,lime003
286,0.2606103,0.05,lime003
287,0.14278337,0.05,lime003
288,0.1168171,0.05,lime003
289,0.071714275,0.05,lime003
290,0.14446992,0.05,lime003
291,0.26342195,0.05,lime003
292,0.19743969,0.05,lime003
