,Stability,Std_Deviation,Method
0,49.530555725097656,0.05,grad
1,716.102294921875,0.05,grad
2,162.20736694335938,0.05,grad
3,1226.533447265625,0.05,grad
4,368.142822265625,0.05,grad
5,128.1287384033203,0.05,grad
6,1155.4681396484375,0.05,grad
7,712.1776123046875,0.05,grad
8,262.5027160644531,0.05,grad
9,1624.7584228515625,0.05,grad
10,1452.409423828125,0.05,grad
11,771.9525756835938,0.05,grad
12,420.6488342285156,0.05,grad
13,222.20379638671875,0.05,grad
14,1221.1990966796875,0.05,grad
15,107.7706527709961,0.05,grad
16,1599.4595947265625,0.05,grad
17,1577.503662109375,0.05,grad
18,1238.2923583984375,0.05,grad
19,128.16343688964844,0.05,grad
20,107.92191314697266,0.05,grad
21,46.0965576171875,0.05,grad
22,151.6303253173828,0.05,grad
23,990.6729736328125,0.05,grad
24,1151.9168701171875,0.05,grad
25,1399.49169921875,0.05,grad
26,253.72799682617188,0.05,grad
27,1520.111328125,0.05,grad
28,705.71533203125,0.05,grad
29,1491.4044189453125,0.05,grad
30,397.79095458984375,0.05,grad
31,658.8720703125,0.05,grad
32,312.5157470703125,0.05,grad
33,264.1772766113281,0.05,grad
34,885.3243408203125,0.05,grad
35,152.80924366481065,0.05,ig
36,561.7869732237261,0.05,ig
37,265.4332326046453,0.05,ig
38,325.142478501547,0.05,ig
39,372.4944271068774,0.05,ig
40,236.57186805582666,0.05,ig
41,709.9806225050538,0.05,ig
42,537.1137514017349,0.05,ig
43,316.87387784012776,0.05,ig
44,982.0150443553389,0.05,ig
45,855.3908415792022,0.05,ig
46,607.6593015987362,0.05,ig
47,423.1879513204432,0.05,ig
48,300.6357251304443,0.05,ig
49,352.9933509936902,0.05,ig
50,220.04413756888803,0.05,ig
51,938.2735616089232,0.05,ig
52,896.4038697670146,0.05,ig
53,282.06458804817674,0.05,ig
54,223.98072644060412,0.05,ig
55,212.4868917347896,0.05,ig
56,147.95480705618192,0.05,ig
57,238.79043569170358,0.05,ig
58,646.2874458777735,0.05,ig
59,283.098146194235,0.05,ig
60,798.1448812459173,0.05,ig
61,295.9915058264646,0.05,ig
62,864.0693251954524,0.05,ig
