,Faithfulness,Std_Deviation,Method
0,0.047406588,0.05,grad
1,0.20313194,0.05,grad
2,0.19765341,0.05,grad
3,0.20294127,0.05,grad
4,0.22006091,0.05,grad
5,0.14912897,0.05,grad
6,0.21696097,0.05,grad
7,0.18019834,0.05,grad
8,0.23684524,0.05,grad
9,0.15402983,0.05,grad
10,0.15673,0.05,grad
11,0.0953585,0.05,grad
12,0.22825372,0.05,grad
13,0.09188113,0.05,grad
14,0.24168009,0.05,grad
15,0.22769262,0.05,grad
16,0.17499018,0.05,grad
17,0.17396384,0.05,grad
18,0.16051744,0.05,grad
19,0.2027753,0.05,grad
20,0.1688646,0.05,grad
21,0.17443699,0.05,grad
22,0.03376327,0.05,grad
23,0.19688496,0.05,grad
24,0.21364693,0.05,grad
25,0.20112363,0.05,grad
26,0.24690184,0.05,grad
27,0.16993593,0.05,grad
28,0.23013578,0.05,grad
29,0.020824756,0.05,grad
30,0.22375385,0.05,grad
31,0.03959062,0.05,grad
32,0.118744984,0.05,grad
33,0.107456416,0.05,grad
34,0.15335947,0.05,grad
35,0.046919618,0.05,ig
36,0.19536322,0.05,ig
37,0.20783688,0.05,ig
38,0.20864083,0.05,ig
39,0.2035342,0.05,ig
40,0.18623888,0.05,ig
41,0.25500137,0.05,ig
42,0.17557435,0.05,ig
43,0.21862887,0.05,ig
44,0.15605782,0.05,ig
45,0.16033004,0.05,ig
46,0.09479274,0.05,ig
47,0.21502377,0.05,ig
48,0.055280205,0.05,ig
49,0.2437045,0.05,ig
50,0.18879461,0.05,ig
51,0.17222804,0.05,ig
52,0.16150905,0.05,ig
53,0.17674659,0.05,ig
54,0.20551413,0.05,ig
55,0.20068762,0.05,ig
56,0.1971357,0.05,ig
57,0.026750498,0.05,ig
58,0.2536088,0.05,ig
59,0.23010992,0.05,ig
60,0.20722947,0.05,ig
61,0.26039276,0.05,ig
62,0.16227798,0.05,ig
63,0.23921251,0.05,ig
64,0.022504633,0.05,ig
65,0.24595384,0.05,ig
66,0.04377467,0.05,ig
67,0.13315517,0.05,ig
68,0.0921262,0.05,ig
69,0.17194182,0.05,ig
70,0.05926491,0.05,itg
71,0.22320746,0.05,itg
72,0.19222404,0.05,itg
73,0.19153002,0.05,itg
74,0.2199215,0.05,itg
75,0.16794057,0.05,itg
76,0.23426914,0.05,itg
77,0.20888118,0.05,itg
78,0.19191714,0.05,itg
79,0.15841353,0.05,itg
80,0.14093293,0.05,itg
81,0.08593426,0.05,itg
82,0.24622847,0.05,itg
83,0.08704285,0.05,itg
84,0.21815577,0.05,itg
85,0.21635313,0.05,itg
86,0.17237362,0.05,itg
87,0.15510197,0.05,itg
88,0.20155092,0.05,itg
89,0.1918166,0.05,itg
90,0.17357391,0.05,itg
91,0.20586683,0.05,itg
92,0.03176091,0.05,itg
93,0.23307529,0.05,itg
94,0.22136907,0.05,itg
95,0.22151615,0.05,itg
96,0.2020793,0.05,itg
97,0.1664451,0.05,itg
98,0.1873433,0.05,itg
99,0.02158819,0.05,itg
100,0.23080027,0.05,itg
101,0.034442503,0.05,itg
102,0.104504816,0.05,itg
103,0.09465251,0.05,itg
104,0.13481025,0.05,itg
105,0.0107731735,0.05,sg003
106,0.08718818,0.05,sg003
107,0.091135696,0.05,sg003
108,0.1166499,0.05,sg003
109,0.100065306,0.05,sg003
110,0.06133697,0.05,sg003
111,0.0983358,0.05,sg003
112,0.084621795,0.05,sg003
113,0.11184742,0.05,sg003
114,0.06897941,0.05,sg003
115,0.063068144,0.05,sg003
116,0.039357636,0.05,sg003
117,0.1122461,0.05,sg003
118,0.025855388,0.05,sg003
119,0.1072548,0.05,sg003
120,0.088410415,0.05,sg003
121,0.055293594,0.05,sg003
122,0.06672403,0.05,sg003
123,0.09084934,0.05,sg003
124,0.09001622,0.05,sg003
125,0.07259411,0.05,sg003
126,0.07047673,0.05,sg003
127,0.010442266,0.05,sg003
128,0.10485259,0.05,sg003
129,0.09489174,0.05,sg003
130,0.07487266,0.05,sg003
131,0.10235061,0.05,sg003
132,0.072923034,0.05,sg003
133,0.08485519,0.05,sg003
134,0.0069236886,0.05,sg003
135,0.09793143,0.05,sg003
136,0.010592841,0.05,sg003
137,0.04383729,0.05,sg003
138,0.03579082,0.05,sg003
139,0.07927751,0.05,sg003
140,0.011277544,0.05,sg005
141,0.079273224,0.05,sg005
142,0.09562135,0.05,sg005
143,0.099738576,0.05,sg005
144,0.09701745,0.05,sg005
145,0.073728345,0.05,sg005
146,0.10023635,0.05,sg005
147,0.08279902,0.05,sg005
148,0.10125344,0.05,sg005
149,0.066923864,0.05,sg005
150,0.069165505,0.05,sg005
151,0.042847104,0.05,sg005
152,0.10016979,0.05,sg005
153,0.02512789,0.05,sg005
154,0.10382164,0.05,sg005
155,0.09682377,0.05,sg005
156,0.067932904,0.05,sg005
157,0.050803162,0.05,sg005
158,0.0921619,0.05,sg005
159,0.09191814,0.05,sg005
160,0.07046796,0.05,sg005
161,0.0839867,0.05,sg005
162,0.010750873,0.05,sg005
163,0.09756464,0.05,sg005
164,0.0915083,0.05,sg005
165,0.08389768,0.05,sg005
166,0.0987842,0.05,sg005
167,0.06930277,0.05,sg005
168,0.091084205,0.05,sg005
169,0.0073944186,0.05,sg005
170,0.11353847,0.05,sg005
171,0.012214517,0.05,sg005
172,0.044924293,0.05,sg005
173,0.038881145,0.05,sg005
174,0.06888007,0.05,sg005
175,0.012309867,0.05,sg010
176,0.091514245,0.05,sg010
177,0.08871809,0.05,sg010
178,0.09974453,0.05,sg010
179,0.093007945,0.05,sg010
180,0.07276,0.05,sg010
181,0.102364,0.05,sg010
182,0.09402172,0.05,sg010
183,0.11331055,0.05,sg010
184,0.07212873,0.05,sg010
185,0.07253804,0.05,sg010
186,0.046552777,0.05,sg010
187,0.10168765,0.05,sg010
188,0.028496085,0.05,sg010
189,0.10478382,0.05,sg010
190,0.08413625,0.05,sg010
191,0.07137616,0.05,sg010
192,0.058106165,0.05,sg010
193,0.09327874,0.05,sg010
194,0.09262636,0.05,sg010
195,0.07949418,0.05,sg010
196,0.07706914,0.05,sg010
197,0.009609461,0.05,sg010
198,0.10267848,0.05,sg010
199,0.09379989,0.05,sg010
200,0.09741798,0.05,sg010
201,0.08122645,0.05,sg010
202,0.07270932,0.05,sg010
203,0.08844501,0.05,sg010
204,0.006494398,0.05,sg010
205,0.09418031,0.05,sg010
206,0.012238521,0.05,sg010
207,0.045934044,0.05,sg010
208,0.03511234,0.05,sg010
209,0.07328103,0.05,sg010
210,0.049185887,0.05,lrp
211,0.2197884,0.05,lrp
212,0.22487117,0.05,lrp
213,0.26656467,0.05,lrp
214,0.2589127,0.05,lrp
215,0.19351539,0.05,lrp
216,0.21741742,0.05,lrp
217,0.21541277,0.05,lrp
218,0.20960419,0.05,lrp
219,0.18923377,0.05,lrp
220,0.15647462,0.05,lrp
221,0.08822972,0.05,lrp
222,0.22049722,0.05,lrp
223,0.088126116,0.05,lrp
224,0.25741702,0.05,lrp
225,0.19894621,0.05,lrp
226,0.21668953,0.05,lrp
227,0.1497895,0.05,lrp
228,0.21863769,0.05,lrp
229,0.17694438,0.05,lrp
230,0.16568547,0.05,lrp
231,0.19067138,0.05,lrp
232,0.046971254,0.05,lrp
233,0.2855265,0.05,lrp
234,0.24917066,0.05,lrp
235,0.20367795,0.05,lrp
236,0.2207794,0.05,lrp
237,0.17399044,0.05,lrp
238,0.207259,0.05,lrp
239,0.04553154,0.05,lrp
240,0.21588741,0.05,lrp
