,Faithfulness,Std_Deviation,Method
0,0.0006002718,0.05,sg003
1,0.015281664,0.05,sg003
2,0.0010389233,0.05,sg003
3,0.23188555,0.05,sg003
4,0.0060921563,0.05,sg003
5,0.07696208,0.05,sg003
6,1.5400648e-05,0.05,sg003
7,0.00028092205,0.05,sg003
8,0.07040546,0.05,sg003
9,0.015399265,0.05,sg003
10,0.085482836,0.05,sg003
11,0.009507695,0.05,sg003
12,0.10268961,0.05,sg003
13,0.00047469197,0.05,sg003
14,0.22653492,0.05,sg003
15,0.016612634,0.05,sg003
16,0.22623661,0.05,sg003
17,0.0027664797,0.05,sg003
18,0.1685494,0.05,sg003
19,0.08217644,0.05,sg003
20,0.033911947,0.05,sg003
21,0.014889364,0.05,sg003
22,0.16161175,0.05,sg003
23,0.005903776,0.05,sg003
24,0.21624608,0.05,sg003
25,0.16453877,0.05,sg003
26,0.053146902,0.05,sg003
27,0.0010242969,0.05,sg003
28,0.08277466,0.05,sg003
29,0.014528973,0.05,sg003
30,0.0006059271,0.05,sg005
31,0.022296619,0.05,sg005
32,0.0027879542,0.05,sg005
33,0.20275421,0.05,sg005
34,0.0019410491,0.05,sg005
35,0.094088554,0.05,sg005
36,3.245771e-05,0.05,sg005
37,0.00021041512,0.05,sg005
38,0.033385213,0.05,sg005
39,0.017948851,0.05,sg005
40,0.07776277,0.05,sg005
41,0.004399938,0.05,sg005
42,0.12942028,0.05,sg005
43,0.00057492853,0.05,sg005
44,0.23653893,0.05,sg005
45,0.017931532,0.05,sg005
46,0.23952006,0.05,sg005
47,0.004327714,0.05,sg005
48,0.18397725,0.05,sg005
49,0.07378253,0.05,sg005
50,0.03334949,0.05,sg005
51,0.016116543,0.05,sg005
52,0.16477114,0.05,sg005
53,0.008358469,0.05,sg005
54,0.23004498,0.05,sg005
55,0.1623831,0.05,sg005
56,0.041855443,0.05,sg005
57,0.0016321414,0.05,sg005
58,0.107100986,0.05,sg005
59,0.012133705,0.05,sg005
60,0.0003363824,0.05,sg010
61,0.015265571,0.05,sg010
62,0.0010268617,0.05,sg010
63,0.22185226,0.05,sg010
64,0.0014129109,0.05,sg010
65,0.111118294,0.05,sg010
66,1.7026066e-05,0.05,sg010
67,0.0003629172,0.05,sg010
68,0.04777954,0.05,sg010
69,0.010203141,0.05,sg010
70,0.089470826,0.05,sg010
71,0.008289385,0.05,sg010
72,0.115845546,0.05,sg010
73,0.0019686562,0.05,sg010
74,0.24886174,0.05,sg010
75,0.032545015,0.05,sg010
76,0.24376844,0.05,sg010
77,0.0024435294,0.05,sg010
78,0.17900918,0.05,sg010
79,0.07205085,0.05,sg010
80,0.043999568,0.05,sg010
81,0.012066161,0.05,sg010
82,0.18971439,0.05,sg010
83,0.0053914664,0.05,sg010
84,0.19841993,0.05,sg010
85,0.14128594,0.05,sg010
86,0.050501242,0.05,sg010
87,0.0013303953,0.05,sg010
88,0.085236005,0.05,sg010
89,0.009109683,0.05,sg010
