,Stability,Std_Deviation,Method
0,0.03696704898972925,0.05,sg003
1,0.09060620624966988,0.05,sg003
2,0.16543478890314767,0.05,sg003
3,0.01438273747853663,0.05,sg003
4,0.06467510127254972,0.05,sg003
5,0.17000802889049724,0.05,sg003
6,0.035802864519143475,0.05,sg003
7,0.0492185200007953,0.05,sg003
8,0.07622284381603074,0.05,sg003
9,0.370743145424802,0.05,sg003
10,0.2548309387622863,0.05,sg003
11,0.300012974734563,0.05,sg003
12,0.05752106913070161,0.05,sg003
13,0.1283813714432967,0.05,sg003
14,0.5847100927924809,0.05,sg003
15,0.06989995402056565,0.05,sg003
16,0.03712519371416385,0.05,sg003
17,0.17808714424528438,0.05,sg003
18,0.11922318011403013,0.05,sg003
19,0.19580500175084267,0.05,sg003
20,0.1948400034045059,0.05,sg003
21,0.11347202317106238,0.05,sg003
22,0.4340116273615514,0.05,sg003
23,0.06291428078428296,0.05,sg003
24,0.04199734654612612,0.05,sg003
25,0.6210814215225154,0.05,sg003
26,0.8981932765865771,0.05,sg003
27,0.13946080926043272,0.05,sg003
28,0.0461016749378866,0.05,sg003
29,0.12955708249018635,0.05,sg003
30,0.03843960361222027,0.05,sg005
31,0.06549803474016991,0.05,sg005
32,0.08621069251747594,0.05,sg005
33,0.03046181661801859,0.05,sg005
34,0.17947532786479126,0.05,sg005
35,0.2252037322201475,0.05,sg005
36,0.03596573677863304,0.05,sg005
37,0.027279708662150407,0.05,sg005
38,0.05688275741772973,0.05,sg005
39,0.17497902411562957,0.05,sg005
40,0.04577462137071697,0.05,sg005
41,0.03352053213358794,0.05,sg005
42,0.055568305149957496,0.05,sg005
43,0.09164480881938819,0.05,sg005
44,0.09806765854925463,0.05,sg005
45,0.07735943921629959,0.05,sg005
46,0.04206906777546714,0.05,sg005
47,0.04210446574319919,0.05,sg005
48,0.04470921667750316,0.05,sg005
49,0.0473311517917409,0.05,sg005
50,0.0935807232924992,0.05,sg005
51,0.0589215388464414,0.05,sg005
52,0.011659338156976494,0.05,sg005
53,0.06803353290165257,0.05,sg005
54,0.059122628708767146,0.05,sg005
55,0.0921290901180774,0.05,sg005
56,0.6633500478617008,0.05,sg005
57,0.05094599146706581,0.05,sg005
58,0.1609500824403343,0.05,sg005
59,0.03097235169932475,0.05,sg005
60,0.02027371913905967,0.05,sg010
61,0.024927882842069173,0.05,sg010
62,0.14301596551759857,0.05,sg010
63,0.053325476178400236,0.05,sg010
64,0.09079802637408205,0.05,sg010
65,0.13204742251502194,0.05,sg010
66,0.02500315755813273,0.05,sg010
67,0.03847033687329209,0.05,sg010
68,0.02699258321637957,0.05,sg010
69,0.038456404426316204,0.05,sg010
70,0.10427329187651854,0.05,sg010
71,0.0234179630450245,0.05,sg010
72,0.027685509931344842,0.05,sg010
73,0.09682353141270332,0.05,sg010
74,0.0228956249156812,0.05,sg010
75,0.03279978203861537,0.05,sg010
76,0.04811603724669737,0.05,sg010
77,0.03251882646969095,0.05,sg010
78,0.10440457503966397,0.05,sg010
79,0.33855537418505893,0.05,sg010
80,0.11817734032065348,0.05,sg010
81,0.047829393875743205,0.05,sg010
82,0.031470349316088504,0.05,sg010
83,0.028565670689504757,0.05,sg010
84,0.027840365105136513,0.05,sg010
85,0.24134466936724627,0.05,sg010
86,0.062283846998394975,0.05,sg010
87,0.08940269274002928,0.05,sg010
88,0.16356873124562174,0.05,sg010
89,0.022895298991509203,0.05,sg010
