,Stability,Std_Deviation,Method
0,38.880825,0.05,sg003
1,5.6719594,0.05,sg003
2,710.0575,0.05,sg003
3,92.24961,0.05,sg003
4,34.354023,0.05,sg003
5,30.751682,0.05,sg003
6,156.1529,0.05,sg003
7,48.291122,0.05,sg003
8,9.285738,0.05,sg003
9,7.834152,0.05,sg003
10,2.2284737,0.05,sg003
11,11.146512,0.05,sg003
12,2.0318785,0.05,sg003
13,35.302364,0.05,sg003
14,2.9040425,0.05,sg003
15,1.759204,0.05,sg003
16,4.4174986,0.05,sg003
17,5.8466134,0.05,sg003
18,4.1436872,0.05,sg003
19,45.798775,0.05,sg003
20,4.584307,0.05,sg003
21,6.871613,0.05,sg003
22,7.948142,0.05,sg003
23,33.60862,0.05,sg003
24,351.6527,0.05,sg003
25,7.7492404,0.05,sg003
26,23.052925,0.05,sg003
27,26.469147,0.05,sg003
28,4.602226,0.05,sg003
29,3076.1,0.05,sg003
30,143.3351,0.05,sg005
31,2.737987,0.05,sg005
32,23.981216,0.05,sg005
33,9.554337,0.05,sg005
34,28.133574,0.05,sg005
35,4.8735337,0.05,sg005
36,3061.3865,0.05,sg005
37,47.435528,0.05,sg005
38,4.352133,0.05,sg005
39,21.54383,0.05,sg005
40,5.7694216,0.05,sg005
41,92.916016,0.05,sg005
42,60.942986,0.05,sg005
43,13.214261,0.05,sg005
44,33.336876,0.05,sg005
45,2.2494698,0.05,sg005
46,16.578629,0.05,sg005
47,12.743354,0.05,sg005
48,3.6323915,0.05,sg005
49,1056.5073,0.05,sg005
50,7.517439,0.05,sg005
51,13.407764,0.05,sg005
52,7.826573,0.05,sg005
53,3.0240085,0.05,sg005
54,12.320679,0.05,sg005
55,32.108223,0.05,sg005
56,13.823876,0.05,sg005
57,13.843175,0.05,sg005
58,2.9690256,0.05,sg005
59,1.1978551,0.05,sg005
60,20.261152,0.05,sg010
61,11.250388,0.05,sg010
62,4.0350156,0.05,sg010
63,30.521982,0.05,sg010
64,35.49803,0.05,sg010
65,5.9225726,0.05,sg010
66,672.6867,0.05,sg010
67,91.678246,0.05,sg010
68,159.1082,0.05,sg010
69,64.0283,0.05,sg010
70,4.5388317,0.05,sg010
71,1.6410517,0.05,sg010
72,12.579596,0.05,sg010
73,7.354314,0.05,sg010
74,41.184086,0.05,sg010
75,5.435598,0.05,sg010
76,2.1363022,0.05,sg010
77,31.677475,0.05,sg010
78,8.711969,0.05,sg010
79,53.37935,0.05,sg010
80,1.0130873,0.05,sg010
81,6.6216245,0.05,sg010
82,7.7287946,0.05,sg010
83,6.8666143,0.05,sg010
84,12.892194,0.05,sg010
85,21.767426,0.05,sg010
86,1.6071949,0.05,sg010
87,3.558973,0.05,sg010
88,17.694088,0.05,sg010
89,5.803591,0.05,sg010
