,Faithfulness,Std_Deviation,Method
0,0.09717253,0.05,sg003
1,0.008244043,0.05,sg003
2,0.10933154,0.05,sg003
3,0.19522944,0.05,sg003
4,0.24395186,0.05,sg003
5,0.2604887,0.05,sg003
6,0.08486192,0.05,sg003
7,0.1217099,0.05,sg003
8,0.16376425,0.05,sg003
9,0.31399938,0.05,sg003
10,0.035184965,0.05,sg003
11,0.2571508,0.05,sg003
12,0.26341182,0.05,sg003
13,0.27020404,0.05,sg003
14,0.01981861,0.05,sg003
15,0.012526989,0.05,sg003
16,0.2976251,0.05,sg003
17,0.27309793,0.05,sg003
18,0.08263674,0.05,sg003
19,0.12026295,0.05,sg003
20,0.034609985,0.05,sg003
21,0.047946595,0.05,sg003
22,0.018159134,0.05,sg003
23,0.29613882,0.05,sg003
24,0.01784154,0.05,sg003
25,0.22913492,0.05,sg003
26,0.21783715,0.05,sg003
27,0.113236144,0.05,sg003
28,0.056900974,0.05,sg003
29,0.17722565,0.05,sg003
30,0.11256123,0.05,sg005
31,0.010203374,0.05,sg005
32,0.13060006,0.05,sg005
33,0.17954412,0.05,sg005
34,0.27672294,0.05,sg005
35,0.28604466,0.05,sg005
36,0.07570181,0.05,sg005
37,0.12254521,0.05,sg005
38,0.13065568,0.05,sg005
39,0.28918025,0.05,sg005
40,0.03624907,0.05,sg005
41,0.20355211,0.05,sg005
42,0.2842428,0.05,sg005
43,0.26287544,0.05,sg005
44,0.020846905,0.05,sg005
45,0.012178371,0.05,sg005
46,0.28884253,0.05,sg005
47,0.2748355,0.05,sg005
48,0.08933894,0.05,sg005
49,0.1251977,0.05,sg005
50,0.033619393,0.05,sg005
51,0.045251578,0.05,sg005
52,0.03238134,0.05,sg005
53,0.3021579,0.05,sg005
54,0.015478102,0.05,sg005
55,0.2512125,0.05,sg005
56,0.14993155,0.05,sg005
57,0.12699462,0.05,sg005
58,0.05447941,0.05,sg005
59,0.1622687,0.05,sg005
60,0.094538756,0.05,sg010
61,0.0059800665,0.05,sg010
62,0.101981364,0.05,sg010
63,0.16530113,0.05,sg010
64,0.25183696,0.05,sg010
65,0.23724681,0.05,sg010
66,0.08850186,0.05,sg010
67,0.1360683,0.05,sg010
68,0.1537517,0.05,sg010
69,0.28247592,0.05,sg010
70,0.035438664,0.05,sg010
71,0.21922724,0.05,sg010
72,0.2753906,0.05,sg010
73,0.27809393,0.05,sg010
74,0.01776221,0.05,sg010
75,0.010330575,0.05,sg010
76,0.28289458,0.05,sg010
77,0.24797945,0.05,sg010
78,0.10813544,0.05,sg010
79,0.09147306,0.05,sg010
80,0.029322183,0.05,sg010
81,0.040898304,0.05,sg010
82,0.035917636,0.05,sg010
83,0.3176945,0.05,sg010
84,0.017852588,0.05,sg010
85,0.24648876,0.05,sg010
86,0.21301742,0.05,sg010
87,0.08100169,0.05,sg010
88,0.05745886,0.05,sg010
89,0.1716908,0.05,sg010
