,Stability,Std_Deviation,Method
0,1.695665956311926,0.05,sg003
1,0.01375350335052308,0.05,sg003
2,0.09752218101239613,0.05,sg003
3,0.034795831844846484,0.05,sg003
4,1.384838129676416,0.05,sg003
5,0.3419304159316987,0.05,sg003
6,0.12985746557949143,0.05,sg003
7,0.29570439818270383,0.05,sg003
8,0.8267623594817117,0.05,sg003
9,0.6786937895127881,0.05,sg003
10,0.32082488530670333,0.05,sg003
11,1.2435890717756493,0.05,sg003
12,0.11239149414230026,0.05,sg003
13,0.07400888389144657,0.05,sg003
14,0.10541283345463223,0.05,sg003
15,0.2305901489798354,0.05,sg003
16,0.7137242113529376,0.05,sg003
17,1.3933750723945817,0.05,sg003
18,0.676766502893777,0.05,sg003
19,0.10241798071238774,0.05,sg003
20,0.0979336569555182,0.05,sg003
21,0.2263612708569351,0.05,sg003
22,0.006748253965618552,0.05,sg003
23,0.17054082570424642,0.05,sg003
24,0.25292893184365317,0.05,sg003
25,0.19752985629053008,0.05,sg003
26,0.14080499839441357,0.05,sg003
27,0.6118371910318918,0.05,sg003
28,0.11855613480770487,0.05,sg003
29,0.020484608817478676,0.05,sg003
30,0.5037294118246975,0.05,sg005
31,0.028177198422430078,0.05,sg005
32,0.05387669548671263,0.05,sg005
33,0.07589137797620771,0.05,sg005
34,1.3038949253647627,0.05,sg005
35,0.47098617707695917,0.05,sg005
36,0.12317698042866983,0.05,sg005
37,0.09230476889691269,0.05,sg005
38,0.44104397595333134,0.05,sg005
39,0.6278508169271848,0.05,sg005
40,0.3596365721575592,0.05,sg005
41,0.6354396763102358,0.05,sg005
42,0.08261669085844468,0.05,sg005
43,0.07419589611300481,0.05,sg005
44,0.116829759917021,0.05,sg005
45,0.029662767979851554,0.05,sg005
46,0.44796277230066217,0.05,sg005
47,0.7070327445326003,0.05,sg005
48,0.0056623936341341765,0.05,sg005
49,0.05587479399603047,0.05,sg005
50,0.060510052531266595,0.05,sg005
51,0.23487815726396885,0.05,sg005
52,0.013537332532691158,0.05,sg005
53,0.07069327607934156,0.05,sg005
54,0.2619000830893327,0.05,sg005
55,0.1164006463268204,0.05,sg005
56,0.16034281715044413,0.05,sg005
57,0.044747189827454494,0.05,sg005
58,0.04814269701174644,0.05,sg005
59,0.01268181017281892,0.05,sg005
60,0.727000149230888,0.05,sg010
61,0.03132202963422044,0.05,sg010
62,0.05580258054497965,0.05,sg010
63,0.02223768176133588,0.05,sg010
64,1.6499621537714197,0.05,sg010
65,0.07523524283446253,0.05,sg010
66,0.11045666850545416,0.05,sg010
67,0.004404616001753767,0.05,sg010
68,0.2237112356752113,0.05,sg010
69,0.27498767820678466,0.05,sg010
70,0.34899799685614913,0.05,sg010
71,0.10104034982564923,0.05,sg010
72,0.014551925664696251,0.05,sg010
73,0.03123656937283344,0.05,sg010
74,0.10346882519809432,0.05,sg010
75,0.04020165238473161,0.05,sg010
76,0.6348151143538987,0.05,sg010
77,0.31051219154552445,0.05,sg010
78,0.008130826218439375,0.05,sg010
79,0.05233621730942263,0.05,sg010
80,0.04715218017754482,0.05,sg010
81,0.7766964950526956,0.05,sg010
82,0.0036322363056954807,0.05,sg010
83,0.02927528277833118,0.05,sg010
84,0.3398849566375125,0.05,sg010
85,0.057590853675576606,0.05,sg010
86,0.023533542694843115,0.05,sg010
87,0.01715607024326836,0.05,sg010
88,0.10998236431017422,0.05,sg010
89,0.0056403510770658355,0.05,sg010
