,Stability,Std_Deviation,Method
0,83.276115,0.05,sg003
1,2.9840434,0.05,sg003
2,345.88168,0.05,sg003
3,343.2391,0.05,sg003
4,4.898348,0.05,sg003
5,12.159599,0.05,sg003
6,2.0959992,0.05,sg003
7,114.860054,0.05,sg003
8,24.116001,0.05,sg003
9,9.662629,0.05,sg003
10,9.426938,0.05,sg003
11,78.574905,0.05,sg003
12,22.751408,0.05,sg003
13,2.7003527,0.05,sg003
14,3.758518,0.05,sg003
15,1.1940662,0.05,sg003
16,28.479301,0.05,sg003
17,9.68645,0.05,sg003
18,9.90297,0.05,sg003
19,7.50262,0.05,sg003
20,13.941934,0.05,sg003
21,7.514888,0.05,sg003
22,0.5840583,0.05,sg003
23,12.751326,0.05,sg003
24,11.919,0.05,sg003
25,16.36139,0.05,sg003
26,103.332596,0.05,sg003
27,4.2662325,0.05,sg003
28,7.9859724,0.05,sg003
29,6.2777243,0.05,sg003
30,784.0576,0.05,sg005
31,0.65791804,0.05,sg005
32,11.221247,0.05,sg005
33,91.03908,0.05,sg005
34,3.2444003,0.05,sg005
35,2.080136,0.05,sg005
36,24.08019,0.05,sg005
37,14.134012,0.05,sg005
38,310.23483,0.05,sg005
39,10.605114,0.05,sg005
40,0.815296,0.05,sg005
41,8.155542,0.05,sg005
42,13.648524,0.05,sg005
43,2.3114283,0.05,sg005
44,17.046389,0.05,sg005
45,21.706173,0.05,sg005
46,3.468203,0.05,sg005
47,31.008312,0.05,sg005
48,4.17581,0.05,sg005
49,7.6966233,0.05,sg005
50,1.524693,0.05,sg005
51,7.3352942,0.05,sg005
52,0.9542511,0.05,sg005
53,6.734399,0.05,sg005
54,3.7749474,0.05,sg005
55,94.3549,0.05,sg005
56,35.642376,0.05,sg005
57,12.97308,0.05,sg005
58,3.6275399,0.05,sg005
59,1.6727854,0.05,sg005
60,9.229157,0.05,sg010
61,56.101982,0.05,sg010
62,0.86103743,0.05,sg010
63,292.09247,0.05,sg010
64,7.8473477,0.05,sg010
65,100.29919,0.05,sg010
66,0.97657347,0.05,sg010
67,6.203678,0.05,sg010
68,100.81338,0.05,sg010
69,15.482923,0.05,sg010
70,3.2265277,0.05,sg010
71,13.002368,0.05,sg010
72,8.722507,0.05,sg010
73,16.027403,0.05,sg010
74,3.1454659,0.05,sg010
75,0.85492265,0.05,sg010
76,4.3765006,0.05,sg010
77,85.43264,0.05,sg010
78,7.0513024,0.05,sg010
79,42.836338,0.05,sg010
80,6.5328636,0.05,sg010
81,53.6797,0.05,sg010
82,2.4819968,0.05,sg010
83,21.33578,0.05,sg010
84,2.110054,0.05,sg010
85,1.3395784,0.05,sg010
86,21.424868,0.05,sg010
87,2.7618484,0.05,sg010
88,10.708639,0.05,sg010
89,6.8080716,0.05,sg010
