,Stability,Std_Deviation,Method
0,14.904137,0.05,sg003
1,111.16487,0.05,sg003
2,40.5328,0.05,sg003
3,175.22858,0.05,sg003
4,10.52539,0.05,sg003
5,120.06031,0.05,sg003
6,11.561143,0.05,sg003
7,36.25508,0.05,sg003
8,9.323606,0.05,sg003
9,4.414663,0.05,sg003
10,292.43927,0.05,sg003
11,42.427917,0.05,sg003
12,2545990.0,0.05,sg003
13,12.231134,0.05,sg003
14,2868358200000.0,0.05,sg003
15,65.01148,0.05,sg003
16,829883300.0,0.05,sg003
17,38.535873,0.05,sg003
18,33.840233,0.05,sg003
19,2775209.2,0.05,sg003
20,130.93668,0.05,sg003
21,101.52685,0.05,sg003
22,3.7466352,0.05,sg003
23,8.133649,0.05,sg003
24,22424.85,0.05,sg003
25,265.3251,0.05,sg003
26,22.389364,0.05,sg003
27,43.23062,0.05,sg003
28,11.286738,0.05,sg003
29,8.073975,0.05,sg003
30,14.355542,0.05,sg005
31,130.78677,0.05,sg005
32,2.54989,0.05,sg005
33,297.01764,0.05,sg005
34,5.6606493,0.05,sg005
35,54.19487,0.05,sg005
36,43.020397,0.05,sg005
37,142.51529,0.05,sg005
38,68.675964,0.05,sg005
39,15.669044,0.05,sg005
40,81307.23,0.05,sg005
41,41.074173,0.05,sg005
42,10126502.0,0.05,sg005
43,57.349953,0.05,sg005
44,213815560000.0,0.05,sg005
45,61.06367,0.05,sg005
46,41828495000.0,0.05,sg005
47,114.21142,0.05,sg005
48,117.62896,0.05,sg005
49,860750.56,0.05,sg005
50,138.35324,0.05,sg005
51,27.782217,0.05,sg005
52,66.10663,0.05,sg005
53,6.666363,0.05,sg005
54,420.94202,0.05,sg005
55,143.03581,0.05,sg005
56,9.711326,0.05,sg005
57,22.895576,0.05,sg005
58,15.961535,0.05,sg005
59,53.17056,0.05,sg005
60,6.3724747,0.05,sg010
61,84.49131,0.05,sg010
62,1.5779783,0.05,sg010
63,74.26452,0.05,sg010
64,5.708015,0.05,sg010
65,173.82152,0.05,sg010
66,24.279812,0.05,sg010
67,14.901655,0.05,sg010
68,89.07401,0.05,sg010
69,9.120552,0.05,sg010
70,962.0042,0.05,sg010
71,4.703155,0.05,sg010
72,1423059.8,0.05,sg010
73,3.5691712,0.05,sg010
74,1581469300000.0,0.05,sg010
75,13.814938,0.05,sg010
76,899082400.0,0.05,sg010
77,59.080063,0.05,sg010
78,25.579933,0.05,sg010
79,338866.2,0.05,sg010
80,41.10996,0.05,sg010
81,17.68659,0.05,sg010
82,14.991178,0.05,sg010
83,5.3202415,0.05,sg010
84,667.22833,0.05,sg010
85,51.980354,0.05,sg010
86,35.06389,0.05,sg010
87,77.2163,0.05,sg010
88,4.8937664,0.05,sg010
89,11.706722,0.05,sg010
