,Faithfulness,Std_Deviation,Method
0,0.5484903,0.05,sg003
1,0.05717291,0.05,sg003
2,0.45696744,0.05,sg003
3,0.14060251,0.05,sg003
4,0.4167284,0.05,sg003
5,0.04938289,0.05,sg003
6,0.08271339,0.05,sg003
7,0.38567394,0.05,sg003
8,0.3021801,0.05,sg003
9,0.25980443,0.05,sg003
10,0.067024924,0.05,sg003
11,0.16971153,0.05,sg003
12,0.010203164,0.05,sg003
13,0.37176427,0.05,sg003
14,0.00554421,0.05,sg003
15,0.16665648,0.05,sg003
16,0.024907418,0.05,sg003
17,0.2050446,0.05,sg003
18,0.27437252,0.05,sg003
19,0.047122143,0.05,sg003
20,0.11579077,0.05,sg003
21,0.40566197,0.05,sg003
22,0.22248489,0.05,sg003
23,0.40837806,0.05,sg003
24,0.09331638,0.05,sg003
25,0.10464791,0.05,sg003
26,0.41911647,0.05,sg003
27,0.19507788,0.05,sg003
28,0.2708269,0.05,sg003
29,0.41547817,0.05,sg003
30,0.5844446,0.05,sg005
31,0.07046717,0.05,sg005
32,0.44702747,0.05,sg005
33,0.21685669,0.05,sg005
34,0.30950838,0.05,sg005
35,0.14237334,0.05,sg005
36,0.19985336,0.05,sg005
37,0.374326,0.05,sg005
38,0.3651714,0.05,sg005
39,0.22627734,0.05,sg005
40,0.113294534,0.05,sg005
41,0.13133371,0.05,sg005
42,0.0084953215,0.05,sg005
43,0.37097377,0.05,sg005
44,0.010909311,0.05,sg005
45,0.13685828,0.05,sg005
46,0.018396264,0.05,sg005
47,0.19316286,0.05,sg005
48,0.31962168,0.05,sg005
49,0.019784775,0.05,sg005
50,0.1412387,0.05,sg005
51,0.3578005,0.05,sg005
52,0.27609053,0.05,sg005
53,0.32310376,0.05,sg005
54,0.053510908,0.05,sg005
55,0.038881116,0.05,sg005
56,0.4696402,0.05,sg005
57,0.15804243,0.05,sg005
58,0.1811804,0.05,sg005
59,0.40456372,0.05,sg005
60,0.5356277,0.05,sg010
61,0.080899656,0.05,sg010
62,0.5073246,0.05,sg010
63,0.24704482,0.05,sg010
64,0.32951164,0.05,sg010
65,0.069537416,0.05,sg010
66,0.12861413,0.05,sg010
67,0.37201726,0.05,sg010
68,0.43614173,0.05,sg010
69,0.24782959,0.05,sg010
70,0.13292332,0.05,sg010
71,0.17892547,0.05,sg010
72,0.003922348,0.05,sg010
73,0.42330056,0.05,sg010
74,0.003820051,0.05,sg010
75,0.15750828,0.05,sg010
76,0.033269025,0.05,sg010
77,0.19746536,0.05,sg010
78,0.32125694,0.05,sg010
79,0.053324867,0.05,sg010
80,0.2068116,0.05,sg010
81,0.4230009,0.05,sg010
82,0.22591282,0.05,sg010
83,0.36302269,0.05,sg010
84,0.104008526,0.05,sg010
85,0.096694164,0.05,sg010
86,0.34435177,0.05,sg010
87,0.17895192,0.05,sg010
88,0.30566418,0.05,sg010
89,0.4184202,0.05,sg010
