,Stability,Method
0,420.21990966796875,grad
1,946.46435546875,grad
2,299.97442626953125,grad
3,1427.4595947265625,grad
4,85544.75,grad
5,83.18569946289062,grad
6,571.669677734375,grad
7,109.87718200683594,grad
8,937.5785522460938,grad
9,895.3856811523438,grad
10,4838.65771484375,grad
11,1670.0146484375,grad
12,363.3672180175781,grad
13,34.472843170166016,grad
14,1032.9945068359375,grad
15,37.09090805053711,grad
16,66.82259368896484,grad
17,122.89156341552734,grad
18,83.91703033447266,grad
19,42.20968246459961,grad
20,38.28915023803711,grad
21,39.72617721557617,grad
22,33.00401306152344,grad
23,273.6724548339844,grad
24,55.527366638183594,grad
25,5498.724609375,grad
26,2437.34423828125,grad
27,5773.6962890625,grad
28,3078.126220703125,grad
29,5202.14501953125,grad
30,471.81768798828125,grad
31,38.42877197265625,grad
32,72.95699310302734,grad
33,87.2925796508789,grad
34,38.07915496826172,grad
35,21198.638671875,grad
36,40.48234558105469,grad
37,104.60464477539062,grad
38,8634.5693359375,grad
39,4084.328369140625,grad
40,2047.5516357421875,grad
41,56.240570068359375,grad
42,5021.11474609375,grad
43,5249.8828125,grad
44,169.3801727294922,grad
45,6177.251953125,grad
46,487.0341796875,grad
47,33.922325134277344,grad
48,37.100528717041016,grad
49,3959.947998046875,grad
50,32.743988037109375,grad
51,1039129.3125,grad
52,3529.41552734375,grad
53,17933.92578125,grad
54,33.038997650146484,grad
55,369.3600158691406,grad
56,4749.55126953125,grad
57,32895.3828125,grad
58,6680.58544921875,grad
59,1856.4959716796875,grad
60,113.21366882324219,grad
61,1095.741455078125,grad
62,34.020931243896484,grad
63,2403.4345703125,grad
64,32.27320861816406,grad
65,2320.134033203125,grad
66,57.76647186279297,grad
67,1201.1075439453125,grad
68,35.687381744384766,grad
69,1822.27001953125,grad
70,31.884645462036133,grad
71,36.33084487915039,grad
72,5619.27978515625,grad
73,198.87461853027344,grad
74,2638.3603515625,grad
75,32.48232650756836,grad
76,8160.6455078125,grad
77,45.83131790161133,grad
