,Stability,Method
0,492.3365173339844,grad
1,3196.3232421875,grad
2,2093.70849609375,grad
3,624.8158569335938,grad
4,508.4465026855469,grad
5,472.5086364746094,grad
6,914.2159423828125,grad
7,742.10302734375,grad
8,354.3399353027344,grad
9,577.6097412109375,grad
10,4322.8330078125,grad
11,3899.59423828125,grad
12,508.77459716796875,grad
13,853.4747314453125,grad
14,581.9812622070312,grad
15,2176.295166015625,grad
16,448.24169921875,grad
17,743.6063842773438,grad
18,469.6634216308594,grad
19,200.19642639160156,grad
20,4439.16259765625,grad
21,495.6434020996094,grad
22,2183.830322265625,grad
23,529.1123657226562,grad
24,727.0198974609375,grad
25,560.10546875,grad
26,1035.748046875,grad
27,252.94027709960938,grad
28,4185.34716796875,grad
29,2768.07421875,grad
30,377.3636779785156,grad
31,385.4925231933594,grad
32,509.4059753417969,grad
33,1006.12744140625,grad
34,742.046630859375,grad
35,409.751953125,grad
36,4533.27880859375,grad
37,951.17626953125,grad
38,542.434326171875,grad
39,4519.37548828125,grad
40,2475.74755859375,grad
41,3036.365478515625,grad
42,770.8404541015625,grad
43,110.40776062011719,grad
44,3321.527587890625,grad
45,155.7744903564453,grad
46,172.4107666015625,grad
47,4348.47265625,grad
48,1250.4619140625,grad
49,431.34332275390625,grad
50,657.34130859375,grad
51,34.71230697631836,grad
52,3834.31787109375,grad
53,3996.563720703125,grad
54,373.0516052246094,grad
55,422.3954162597656,grad
56,4549.4912109375,grad
57,1958.1475830078125,grad
58,4294.8232421875,grad
59,1311.887939453125,grad
60,689.3666381835938,grad
61,4484.10009765625,grad
62,2262.4091796875,grad
63,4458.951171875,grad
64,530.6216430664062,grad
65,14.720544815063477,grad
66,4145.36181640625,grad
67,462.5495910644531,grad
68,1552.5963134765625,grad
69,767.1400146484375,grad
70,4414.40576171875,grad
71,98.66179656982422,grad
72,315.7952880859375,grad
73,907.7685546875,grad
74,395.7864685058594,grad
75,1266.3712158203125,grad
76,1755.9071044921875,grad
77,427.24334716796875,grad
78,1075.1278076171875,grad
79,257.1801452636719,grad
80,4616.8427734375,grad
81,11.888318061828613,grad
82,1119.8817138671875,grad
83,2833.943603515625,grad
84,4542.04150390625,grad
85,2000.4486083984375,grad
86,4412.15234375,grad
87,488.8381042480469,grad
