,Stability,Method
0,3820.12109375,grad
1,13855.771484375,grad
2,192071.953125,grad
3,1102.234619140625,grad
4,10797.087890625,grad
5,56972.26171875,grad
6,4633.36376953125,grad
7,6037.4462890625,grad
8,7692.8427734375,grad
9,5227.41552734375,grad
10,1741.5892333984375,grad
11,9712.1630859375,grad
12,6259.64208984375,grad
13,24435.5078125,grad
14,51745.078125,grad
15,876065.8125,grad
16,256.0188903808594,grad
17,54260.53125,grad
18,44067.33203125,grad
19,10404.21875,grad
20,11715.0859375,grad
21,1655.936279296875,grad
22,174041.0,grad
23,27100.53125,grad
24,12146.486328125,grad
25,27608.787109375,grad
26,2529.610595703125,grad
27,45722.515625,grad
28,13256.4599609375,grad
29,23941.892578125,grad
30,14102.7451171875,grad
31,908.5747680664062,grad
32,186994.375,grad
33,1052.5372314453125,grad
34,22335.365234375,grad
35,5861.70751953125,grad
36,113720.796875,grad
37,37891.43359375,grad
38,218.43212890625,grad
39,376425.28125,grad
40,664.6455688476562,grad
41,1546.352783203125,grad
42,401479.03125,grad
43,111.16949462890625,grad
44,308.7511291503906,grad
45,16556.2890625,grad
46,906.3223876953125,grad
47,97526.328125,grad
48,210303.53125,grad
49,66031.1875,grad
50,3589.9208984375,grad
51,41514.078125,grad
52,3103.447509765625,grad
53,2093.07568359375,grad
54,43.66048812866211,grad
55,9606.10546875,grad
56,6847.59814453125,grad
57,30.28656005859375,grad
58,11994.5615234375,grad
59,221.4654541015625,grad
60,83944.7734375,grad
61,232408.171875,grad
62,115842.9296875,grad
63,62290.953125,grad
64,1418.1302490234375,grad
65,77866.28125,grad
66,176743.453125,grad
67,1980.77978515625,grad
68,98.79527282714844,grad
69,34249.70703125,grad
70,3656.3427734375,grad
71,37505.2421875,grad
72,425594.90625,grad
73,1624.3865966796875,grad
74,292568.5,grad
75,173.65956115722656,grad
76,543.8023681640625,grad
77,171.15826416015625,grad
78,12858.318359375,grad
79,1678.3297119140625,grad
80,5039.74169921875,grad
81,34.235565185546875,grad
82,902.8034057617188,grad
83,30902.34375,grad
84,1770.5152587890625,grad
85,36290.25390625,grad
86,88690.8515625,grad
87,92554.6171875,grad
88,2659.1357421875,grad
89,1967.6707763671875,grad
90,449620.8125,grad
91,628.772705078125,grad
92,10788.18359375,grad
93,25125.642578125,grad
94,537.5503540039062,grad
95,118570.859375,grad
96,66808.8125,grad
97,8591.873046875,grad
98,899.06298828125,grad
99,42.661746978759766,grad
100,4607.110054790661,ig
101,1968.514712605603,ig
102,72418.33694419097,ig
103,10505.017720704427,ig
104,3160.4861487099147,ig
105,8515.851129976296,ig
106,2027.4158207702285,ig
107,3418.870957721595,ig
108,4054.7813504984174,ig
109,4098.338122419425,ig
110,1008.1187882384955,ig
111,2946.911922788417,ig
112,2224.732046564529,ig
113,4487.236940938916,ig
114,108032.91044601999,ig
115,116373.33673656719,ig
116,1464.6123743593787,ig
117,23931.998294802735,ig
118,30035.117099914958,ig
119,2044.088471970375,ig
120,2740.2529644275164,ig
121,713.0116600178499,ig
122,99939.3207776968,ig
123,9826.078332058562,ig
124,3422.4076008977013,ig
125,8570.84645347075,ig
126,1651.700910699152,ig
127,83907.07425237531,ig
128,22763.454310362264,ig
129,32586.285117960982,ig
130,2759.2624294795282,ig
131,1694.241258769192,ig
132,82525.2405780452,ig
133,3574.2227990897522,ig
134,8701.363345833635,ig
135,3547.356492316194,ig
136,637342.1394280272,ig
137,28688.607008814524,ig
138,14668.224854716163,ig
139,113086.99040768952,ig
140,907.9369261941705,ig
141,1034.152757405961,ig
142,53841.638233924765,ig
143,6690.239452344501,ig
144,2408.934716270122,ig
145,2229.373303057651,ig
146,1106.4656303322809,ig
